source	ID	GO
GPL2810	A000001_01	GO:0005886
GPL2810	A000001_01	GO:0009624
GPL2810	A000001_01	GO:0015175
GPL2810	A000001_01	GO:0015804
GPL2810	A000001_01	GO:0043090
GPL2810	A000002_01	GO:0003674
GPL2810	A000002_01	GO:0005575
GPL2810	A000002_01	GO:0008150
GPL2810	A000003_01	GO:0000119
GPL2810	A000003_01	GO:0009817
GPL2810	A000003_01	GO:0045449
GPL2810	A000004_01	GO:0000166
GPL2810	A000004_01	GO:0008150
GPL2810	A000004_01	GO:0009507
GPL2810	A000005_01	GO:0005739
GPL2810	A000005_01	GO:0006508
GPL2810	A000005_01	GO:0009507
GPL2810	A000005_01	GO:0031365
GPL2810	A000006_01	GO:0003746
GPL2810	A000006_01	GO:0005886
GPL2810	A000006_01	GO:0006414
GPL2810	A000007_01	GO:0006952
GPL2810	A000007_01	GO:0009414
GPL2810	A000007_01	GO:0012505
GPL2810	A000007_01	GO:0016301
GPL2810	A000007_01	GO:0051707
GPL2810	A000008_01	GO:0004888
GPL2810	A000008_01	GO:0007165
GPL2810	A000008_01	GO:0031224
GPL2810	A000008_01	GO:0045087
GPL2810	A000009_01	GO:0003674
GPL2810	A000009_01	GO:0005575
GPL2810	A000009_01	GO:0008150
GPL2810	A000010_01	GO:0005515
GPL2810	A000010_01	GO:0005634
GPL2810	A000010_01	GO:0010112
GPL2810	A000010_01	GO:0016481
GPL2810	A000010_01	GO:0042742
GPL2810	A000011_01	GO:0003674
GPL2810	A000011_01	GO:0008150
GPL2810	A000011_01	GO:0012505
GPL2810	A000012_01	GO:0004674
GPL2810	A000012_01	GO:0004713
GPL2810	A000012_01	GO:0005524
GPL2810	A000012_01	GO:0005886
GPL2810	A000012_01	GO:0006468
GPL2810	A000012_01	GO:0006499
GPL2810	A000013_01	GO:0000166
GPL2810	A000013_01	GO:0000184
GPL2810	A000013_01	GO:0005575
GPL2810	A000014_01	GO:0003674
GPL2810	A000014_01	GO:0008150
GPL2810	A000014_01	GO:0012505
GPL2810	A000015_01	GO:0003735
GPL2810	A000015_01	GO:0006412
GPL2810	A000015_01	GO:0015934
GPL2810	A000016_01	GO:0003725
GPL2810	A000016_01	GO:0005515
GPL2810	A000016_01	GO:0009733
GPL2810	A000016_01	GO:0009735
GPL2810	A000016_01	GO:0009737
GPL2810	A000016_01	GO:0010267
GPL2810	A000016_01	GO:0010445
GPL2810	A000016_01	GO:0035196
GPL2810	A000016_01	GO:0035198
GPL2810	A000016_01	GO:0035279
GPL2810	A000017_01	GO:0003674
GPL2810	A000017_01	GO:0008150
GPL2810	A000017_01	GO:0009507
GPL2810	A000018_01	GO:0003674
GPL2810	A000018_01	GO:0005575
GPL2810	A000018_01	GO:0008150
GPL2810	A000019_01	GO:0003674
GPL2810	A000019_01	GO:0005575
GPL2810	A000019_01	GO:0008150
GPL2810	A000020_01	GO:0005634
GPL2810	A000020_01	GO:0006508
GPL2810	A000020_01	GO:0009651
GPL2810	A000020_01	GO:0010228
GPL2810	A000020_01	GO:0016926
GPL2810	A000021_01	GO:0005515
GPL2810	A000021_01	GO:0008270
GPL2810	A000022_01	GO:0004499
GPL2810	A000022_01	GO:0019761
GPL2810	A000023_01	GO:0003700
GPL2810	A000023_01	GO:0009507
GPL2810	A000023_01	GO:0010223
GPL2810	A000023_01	GO:0045449
GPL2810	A000024_01	GO:0003674
GPL2810	A000024_01	GO:0005783
GPL2810	A000024_01	GO:0016192
GPL2810	A000025_01	GO:0003723
GPL2810	A000026_01	GO:0003674
GPL2810	A000026_01	GO:0005575
GPL2810	A000026_01	GO:0008150
GPL2810	A000027_01	GO:0003674
GPL2810	A000027_01	GO:0005575
GPL2810	A000027_01	GO:0008150
GPL2810	A000028_01	GO:0005575
GPL2810	A000028_01	GO:0008150
GPL2810	A000028_01	GO:0016829
GPL2810	A000029_01	GO:0003825
GPL2810	A000029_01	GO:0005992
GPL2810	A000029_01	GO:0009793
GPL2810	A000029_01	GO:0009832
GPL2810	A000029_01	GO:0010182
GPL2810	A000029_01	GO:0051301
GPL2810	A000030_01	GO:0003674
GPL2810	A000030_01	GO:0008150
GPL2810	A000030_01	GO:0009507
GPL2810	A000031_01	GO:0005773
GPL2810	A000031_01	GO:0006950
GPL2810	A000031_01	GO:0015996
GPL2810	A000031_01	GO:0016564
GPL2810	A000031_01	GO:0047746
GPL2810	A000032_01	GO:0005886
GPL2810	A000032_01	GO:0006857
GPL2810	A000032_01	GO:0015198
GPL2810	A000034_01	GO:0003674
GPL2810	A000034_01	GO:0005886
GPL2810	A000034_01	GO:0006979
GPL2810	A000035_01	GO:0003674
GPL2810	A000035_01	GO:0005739
GPL2810	A000035_01	GO:0008150
GPL2810	A000036_01	GO:0003700
GPL2810	A000036_01	GO:0005622
GPL2810	A000036_01	GO:0008270
GPL2810	A000036_01	GO:0045449
GPL2810	A000037_01	GO:0003674
GPL2810	A000038_01	GO:0003700
GPL2810	A000038_01	GO:0005730
GPL2810	A000038_01	GO:0009733
GPL2810	A000038_01	GO:0010029
GPL2810	A000038_01	GO:0043565
GPL2810	A000038_01	GO:0045449
GPL2810	A000038_01	GO:0048831
GPL2810	A000039_01	GO:0003735
GPL2810	A000039_01	GO:0006412
