source	ID	GO
chickenAffy	AB112960.CDS1.S1_at	GO:0019031
chickenAffy	AF004856.CDS1.S1_s_at	GO:0005198
chickenAffy	AF004856.CDS1.S1_s_at	GO:0019058
chickenAffy	AF004857.CDS3.S1_s_at	GO:0006915
chickenAffy	AF004857.CDS3.S1_s_at	GO:0019012
chickenAffy	AF059721.CDS1.S1_at	GO:0005198
chickenAffy	AF059721.CDS1.S1_at	GO:0019058
chickenAffy	AF059724.CDS1.S1_at	GO:0003727
chickenAffy	AF059724.CDS1.S1_at	GO:0003968
chickenAffy	AF059724.CDS1.S1_at	GO:0006144
chickenAffy	AF059724.CDS1.S1_at	GO:0031379
chickenAffy	AF059725.CDS1.S1_at	GO:0003727
chickenAffy	AF059725.CDS1.S1_at	GO:0003968
chickenAffy	AF059725.CDS1.S1_at	GO:0006144
chickenAffy	AF059725.CDS1.S1_at	GO:0031379
chickenAffy	AF176590.CDS1.S1_s_at	GO:0003676
chickenAffy	AF176590.CDS1.S1_s_at	GO:0019013
chickenAffy	AF176591.CDS1.S1_s_at	GO:0003968
chickenAffy	AF176591.CDS1.S1_s_at	GO:0006144
chickenAffy	AF176591.CDS1.S1_s_at	GO:0031379
chickenAffy	AF176592.CDS1.S1_s_at	GO:0003676
chickenAffy	AF176592.CDS1.S1_s_at	GO:0005198
chickenAffy	AF176592.CDS1.S1_s_at	GO:0008270
chickenAffy	AF176592.CDS1.S1_s_at	GO:0019031
chickenAffy	AF176592.CDS1.S1_s_at	GO:0046782
chickenAffy	AF218359.CDS3.S1_at	GO:0006915
chickenAffy	AF218359.CDS3.S1_at	GO:0019012
chickenAffy	AF243438.CDS11.S1_s_at	GO:0003824
chickenAffy	AF243438.CDS11.S1_s_at	GO:0006629
chickenAffy	AF243438.CDS15.S1_s_at	GO:0004844
chickenAffy	AF243438.CDS15.S1_s_at	GO:0006284
chickenAffy	AF243438.CDS16.S1_s_at	GO:0005634
chickenAffy	AF243438.CDS17.S1_s_at	GO:0005634
chickenAffy	AF243438.CDS18.S1_s_at	GO:0004386
chickenAffy	AF243438.CDS18.S1_s_at	GO:0005524
chickenAffy	AF243438.CDS18.S1_s_at	GO:0006260
chickenAffy	AF243438.CDS18.S1_s_at	GO:0019079
chickenAffy	AF243438.CDS19.S1_s_at	GO:0006323
chickenAffy	AF243438.CDS21.S1_s_at	GO:0004386
chickenAffy	AF243438.CDS21.S1_s_at	GO:0019079
chickenAffy	AF243438.CDS22.S1_s_at	GO:0003688
chickenAffy	AF243438.CDS22.S1_s_at	GO:0004386
chickenAffy	AF243438.CDS22.S1_s_at	GO:0005524
chickenAffy	AF243438.CDS22.S1_s_at	GO:0006260
chickenAffy	AF243438.CDS22.S1_s_at	GO:0046809
chickenAffy	AF243438.CDS23.S1_s_at	GO:0016021
chickenAffy	AF243438.CDS23.S1_s_at	GO:0019031
chickenAffy	AF243438.CDS25.S1_s_at	GO:0003677
chickenAffy	AF243438.CDS25.S1_s_at	GO:0004527
chickenAffy	AF243438.CDS26.S1_s_at	GO:0004674
chickenAffy	AF243438.CDS26.S1_s_at	GO:0005524
chickenAffy	AF243438.CDS26.S1_s_at	GO:0006468
chickenAffy	AF243438.CDS26.S1_s_at	GO:0009069
chickenAffy	AF243438.CDS28.S1_s_at	GO:0006323
chickenAffy	AF243438.CDS3.S1_s_at	GO:0003700
chickenAffy	AF243438.CDS3.S1_s_at	GO:0005576
chickenAffy	AF243438.CDS3.S1_s_at	GO:0005667
chickenAffy	AF243438.CDS3.S1_s_at	GO:0006355
chickenAffy	AF243438.CDS3.S1_s_at	GO:0006935
chickenAffy	AF243438.CDS3.S1_s_at	GO:0006955
chickenAffy	AF243438.CDS3.S1_s_at	GO:0007165
chickenAffy	AF243438.CDS3.S1_s_at	GO:0008009
chickenAffy	AF243438.CDS3.S1_s_at	GO:0043565
chickenAffy	AF243438.CDS3.S1_s_at	GO:0046983
chickenAffy	AF243438.CDS30.S1_s_at	GO:0006323
chickenAffy	AF243438.CDS30.S1_s_at	GO:0019012
chickenAffy	AF243438.CDS31.S1_s_at	GO:0003676
chickenAffy	AF243438.CDS31.S1_s_at	GO:0004245
chickenAffy	AF243438.CDS31.S1_s_at	GO:0005198
chickenAffy	AF243438.CDS31.S1_s_at	GO:0006508
chickenAffy	AF243438.CDS31.S1_s_at	GO:0016020
chickenAffy	AF243438.CDS31.S1_s_at	GO:0019028
chickenAffy	AF243438.CDS32.S1_s_at	GO:0005198
chickenAffy	AF243438.CDS32.S1_s_at	GO:0019028
chickenAffy	AF243438.CDS33.S1_s_at	GO:0016021
chickenAffy	AF243438.CDS33.S1_s_at	GO:0019067
chickenAffy	AF243438.CDS35.S1_s_at	GO:0016021
chickenAffy	AF243438.CDS35.S1_s_at	GO:0019031
chickenAffy	AF243438.CDS36.S1_s_at	GO:0004797
chickenAffy	AF243438.CDS36.S1_s_at	GO:0005524
chickenAffy	AF243438.CDS36.S1_s_at	GO:0006206
chickenAffy	AF243438.CDS36.S1_s_at	GO:0006230
chickenAffy	AF243438.CDS36.S1_s_at	GO:0006260
chickenAffy	AF243438.CDS4.S1_s_at	GO:0003700
chickenAffy	AF243438.CDS4.S1_s_at	GO:0005667
chickenAffy	AF243438.CDS4.S1_s_at	GO:0043565
chickenAffy	AF243438.CDS4.S1_s_at	GO:0045893
chickenAffy	AF243438.CDS4.S1_s_at	GO:0046983
chickenAffy	AF243438.CDS41.S1_s_at	GO:0003677
chickenAffy	AF243438.CDS41.S1_s_at	GO:0016021
chickenAffy	AF243438.CDS42.S1_s_at	GO:0008565
chickenAffy	AF243438.CDS42.S1_s_at	GO:0015031
chickenAffy	AF243438.CDS42.S1_s_at	GO:0016485
chickenAffy	AF243438.CDS42.S1_s_at	GO:0046797
chickenAffy	AF243438.CDS43.S1_s_at	GO:0003697
chickenAffy	AF243438.CDS43.S1_s_at	GO:0005634
chickenAffy	AF243438.CDS43.S1_s_at	GO:0006260
chickenAffy	AF243438.CDS43.S1_s_at	GO:0008270
chickenAffy	AF243438.CDS43.S1_s_at	GO:0042025
chickenAffy	AF243438.CDS44.S1_s_at	GO:0000166
chickenAffy	AF243438.CDS44.S1_s_at	GO:0003677
chickenAffy	AF243438.CDS44.S1_s_at	GO:0003887
chickenAffy	AF243438.CDS44.S1_s_at	GO:0005634
chickenAffy	AF243438.CDS44.S1_s_at	GO:0006260
chickenAffy	AF243438.CDS44.S1_s_at	GO:0042575
chickenAffy	AF243438.CDS45.S1_s_at	GO:0005634
chickenAffy	AF243438.CDS46.S1_s_at	GO:0004386
chickenAffy	AF243438.CDS46.S1_s_at	GO:0016021
chickenAffy	AF243438.CDS46.S1_s_at	GO:0019031
chickenAffy	AF243438.CDS46.S1_s_at	GO:0055036
chickenAffy	AF243438.CDS47.S1_s_at	GO:0019073
chickenAffy	AF243438.CDS49.S1_s_at	GO:0019028
chickenAffy	AF243438.CDS5.S1_s_at	GO:0003700
chickenAffy	AF243438.CDS5.S1_s_at	GO:0005667
chickenAffy	AF243438.CDS5.S1_s_at	GO:0043565
chickenAffy	AF243438.CDS5.S1_s_at	GO:0045893
chickenAffy	AF243438.CDS5.S1_s_at	GO:0046983
chickenAffy	AF243438.CDS50.S1_s_at	GO:0005576
chickenAffy	AF243438.CDS51.S1_s_at	GO:0019068
chickenAffy	AF243438.CDS52.S1_s_at	GO:0003677
chickenAffy	AF243438.CDS52.S1_s_at	GO:0005198
chickenAffy	AF243438.CDS52.S1_s_at	GO:0006323
chickenAffy	AF243438.CDS52.S1_s_at	GO:0019028
chickenAffy	AF243438.CDS52.S1_s_at	GO:0019069
chickenAffy	AF243438.CDS53.S1_s_at	GO:0004748
chickenAffy	AF243438.CDS53.S1_s_at	GO:0005524
chickenAffy	AF243438.CDS53.S1_s_at	GO:0005971
chickenAffy	AF243438.CDS53.S1_s_at	GO:0006144
chickenAffy	AF243438.CDS53.S1_s_at	GO:0006206
chickenAffy	AF243438.CDS53.S1_s_at	GO:0006260
chickenAffy	AF243438.CDS53.S1_s_at	GO:0009186
chickenAffy	AF243438.CDS54.S1_s_at	GO:0004748
chickenAffy	AF243438.CDS54.S1_s_at	GO:0005506
chickenAffy	AF243438.CDS54.S1_s_at	GO:0005971
chickenAffy	AF243438.CDS54.S1_s_at	GO:0006144
chickenAffy	AF243438.CDS54.S1_s_at	GO:0006206
chickenAffy	AF243438.CDS54.S1_s_at	GO:0006260
chickenAffy	AF243438.CDS54.S1_s_at	GO:0009186
chickenAffy	AF243438.CDS55.S1_s_at	GO:0004519
chickenAffy	AF243438.CDS55.S1_s_at	GO:0006281
chickenAffy	AF243438.CDS55.S1_s_at	GO:0006355
chickenAffy	AF243438.CDS55.S1_s_at	GO:0019012
