source	ID	GO
tobaccoDDBJ	BAA01394.1	GO:0004364
tobaccoDDBJ	BAA01394.1	GO:0005634
tobaccoDDBJ	BAA01394.1	GO:0005739
tobaccoDDBJ	BAA01394.1	GO:0005792
tobaccoDDBJ	BAA01394.1	GO:0005886
tobaccoDDBJ	BAA01394.1	GO:0006952
tobaccoDDBJ	BAA01394.1	GO:0006979
tobaccoDDBJ	BAA01394.1	GO:0009407
tobaccoDDBJ	BAA01394.1	GO:0009409
tobaccoDDBJ	BAA01394.1	GO:0009414
tobaccoDDBJ	BAA01394.1	GO:0009507
tobaccoDDBJ	BAA01394.1	GO:0009734
tobaccoDDBJ	BAA01992.1	GO:0004601
tobaccoDDBJ	BAA01992.1	GO:0005509
tobaccoDDBJ	BAA01992.1	GO:0005576
tobaccoDDBJ	BAA01992.1	GO:0009053
tobaccoDDBJ	BAA01992.1	GO:0009615
tobaccoDDBJ	BAA01992.1	GO:0009723
tobaccoDDBJ	BAA01992.1	GO:0012505
tobaccoDDBJ	BAA01992.1	GO:0020037
tobaccoDDBJ	BAA01992.1	GO:0042744
tobaccoDDBJ	BAA02259.1	GO:0003677
tobaccoDDBJ	BAA02259.1	GO:0003964
tobaccoDDBJ	BAA02259.1	GO:0004190
tobaccoDDBJ	BAA02259.1	GO:0008270
tobaccoDDBJ	BAA02259.1	GO:0015074
tobaccoDDBJ	BAA02260.1	GO:0003677
tobaccoDDBJ	BAA02260.1	GO:0003964
tobaccoDDBJ	BAA02260.1	GO:0004190
tobaccoDDBJ	BAA02260.1	GO:0008270
tobaccoDDBJ	BAA02260.1	GO:0015074
tobaccoDDBJ	BAA02260.1	GO:0046983
tobaccoDDBJ	BAA02261.1	GO:0003677
tobaccoDDBJ	BAA02261.1	GO:0003964
tobaccoDDBJ	BAA02261.1	GO:0004190
tobaccoDDBJ	BAA02261.1	GO:0008270
tobaccoDDBJ	BAA02261.1	GO:0015074
tobaccoDDBJ	BAA03043.1	GO:0005199
tobaccoDDBJ	BAA03043.1	GO:0009664
tobaccoDDBJ	BAA03043.1	GO:0045735
tobaccoDDBJ	BAA03044.1	GO:0006869
tobaccoDDBJ	BAA03044.1	GO:0006952
tobaccoDDBJ	BAA03044.1	GO:0008289
tobaccoDDBJ	BAA03044.1	GO:0009607
tobaccoDDBJ	BAA04478.1	GO:0000166
tobaccoDDBJ	BAA04478.1	GO:0003924
tobaccoDDBJ	BAA04478.1	GO:0004872
tobaccoDDBJ	BAA04478.1	GO:0005080
tobaccoDDBJ	BAA04478.1	GO:0005102
tobaccoDDBJ	BAA04478.1	GO:0005737
tobaccoDDBJ	BAA04478.1	GO:0005834
tobaccoDDBJ	BAA04478.1	GO:0007205
tobaccoDDBJ	BAA04478.1	GO:0008104
tobaccoDDBJ	BAA04478.1	GO:0016301
tobaccoDDBJ	BAA04478.1	GO:0043025
tobaccoDDBJ	BAA05515.1	GO:0005789
tobaccoDDBJ	BAA05515.1	GO:0006636
tobaccoDDBJ	BAA05515.1	GO:0009409
tobaccoDDBJ	BAA05515.1	GO:0009507
tobaccoDDBJ	BAA05515.1	GO:0016021
tobaccoDDBJ	BAA05515.1	GO:0016717
tobaccoDDBJ	BAA05515.1	GO:0042170
tobaccoDDBJ	BAA05515.1	GO:0042389
tobaccoDDBJ	BAA05648.1	GO:0000165
tobaccoDDBJ	BAA05648.1	GO:0000910
tobaccoDDBJ	BAA05648.1	GO:0004709
tobaccoDDBJ	BAA05648.1	GO:0004713
tobaccoDDBJ	BAA05648.1	GO:0005515
tobaccoDDBJ	BAA05648.1	GO:0005524
tobaccoDDBJ	BAA05648.1	GO:0005938
tobaccoDDBJ	BAA05648.1	GO:0006468
tobaccoDDBJ	BAA05648.1	GO:0006979
tobaccoDDBJ	BAA05648.1	GO:0009908
tobaccoDDBJ	BAA05648.1	GO:0010103
tobaccoDDBJ	BAA05648.1	GO:0030587
tobaccoDDBJ	BAA05649.1	GO:0000152
tobaccoDDBJ	BAA05649.1	GO:0004674
tobaccoDDBJ	BAA05649.1	GO:0004713
tobaccoDDBJ	BAA05649.1	GO:0005515
tobaccoDDBJ	BAA05649.1	GO:0005524
tobaccoDDBJ	BAA05649.1	GO:0046777
tobaccoDDBJ	BAA05866.1	GO:0005737
tobaccoDDBJ	BAA05866.1	GO:0006808
tobaccoDDBJ	BAA05866.1	GO:0006979
tobaccoDDBJ	BAA05866.1	GO:0016564
tobaccoDDBJ	BAA05866.1	GO:0016651
tobaccoDDBJ	BAA05866.1	GO:0019904
tobaccoDDBJ	BAA05866.1	GO:0032442
tobaccoDDBJ	BAA05867.1	GO:0004766
tobaccoDDBJ	BAA05867.1	GO:0008295
tobaccoDDBJ	BAA05867.1	GO:0030750
tobaccoDDBJ	BAA06149.1	GO:0005576
tobaccoDDBJ	BAA06149.1	GO:0006952
tobaccoDDBJ	BAA06149.1	GO:0008200
tobaccoDDBJ	BAA06149.1	GO:0009719
tobaccoDDBJ	BAA06149.1	GO:0042221
tobaccoDDBJ	BAA06149.1	GO:0051707
tobaccoDDBJ	BAA06150.1	GO:0004364
tobaccoDDBJ	BAA06150.1	GO:0005634
tobaccoDDBJ	BAA06150.1	GO:0005739
tobaccoDDBJ	BAA06150.1	GO:0005792
tobaccoDDBJ	BAA06150.1	GO:0005886
tobaccoDDBJ	BAA06150.1	GO:0006952
tobaccoDDBJ	BAA06150.1	GO:0006979
tobaccoDDBJ	BAA06150.1	GO:0009407
tobaccoDDBJ	BAA06150.1	GO:0009409
tobaccoDDBJ	BAA06150.1	GO:0009414
tobaccoDDBJ	BAA06150.1	GO:0009507
tobaccoDDBJ	BAA06150.1	GO:0009734
tobaccoDDBJ	BAA06151.1	GO:0004289
tobaccoDDBJ	BAA06151.1	GO:0006508
tobaccoDDBJ	BAA06151.1	GO:0009505
tobaccoDDBJ	BAA06151.1	GO:0012505
tobaccoDDBJ	BAA06151.1	GO:0042802
tobaccoDDBJ	BAA06151.1	GO:0043086
tobaccoDDBJ	BAA06151.1	GO:0048046
tobaccoDDBJ	BAA06241.1	GO:0005488
tobaccoDDBJ	BAA06241.1	GO:0005829
tobaccoDDBJ	BAA06241.1	GO:0006561
tobaccoDDBJ	BAA06241.1	GO:0009408
tobaccoDDBJ	BAA06241.1	GO:0009414
tobaccoDDBJ	BAA06241.1	GO:0010115
tobaccoDDBJ	BAA06241.1	GO:0010182
tobaccoDDBJ	BAA06241.1	GO:0010301
tobaccoDDBJ	BAA06538.1	GO:0004674
tobaccoDDBJ	BAA06538.1	GO:0004713
tobaccoDDBJ	BAA06538.1	GO:0005515
tobaccoDDBJ	BAA06538.1	GO:0005524
tobaccoDDBJ	BAA06538.1	GO:0005886
tobaccoDDBJ	BAA06538.1	GO:0006468
tobaccoDDBJ	BAA06538.1	GO:0007169
tobaccoDDBJ	BAA06731.1	GO:0000165
tobaccoDDBJ	BAA06731.1	GO:0004674
tobaccoDDBJ	BAA06731.1	GO:0004708
tobaccoDDBJ	BAA06731.1	GO:0004713
tobaccoDDBJ	BAA06731.1	GO:0005524
tobaccoDDBJ	BAA06731.1	GO:0005737
tobaccoDDBJ	BAA06731.1	GO:0006468
tobaccoDDBJ	BAA06731.1	GO:0006810
tobaccoDDBJ	BAA06731.1	GO:0007169
tobaccoDDBJ	BAA06731.1	GO:0007298
tobaccoDDBJ	BAA06731.1	GO:0009611
tobaccoDDBJ	BAA06731.1	GO:0009631
tobaccoDDBJ	BAA06731.1	GO:0009651
tobaccoDDBJ	BAA06731.1	GO:0009814
tobaccoDDBJ	BAA06731.1	GO:0009864
tobaccoDDBJ	BAA06731.1	GO:0009866
tobaccoDDBJ	BAA06731.1	GO:0042386
tobaccoDDBJ	BAA07321.1	GO:0003700
tobaccoDDBJ	BAA07321.1	GO:0005634
tobaccoDDBJ	BAA07321.1	GO:0006355
tobaccoDDBJ	BAA07321.1	GO:0009864
tobaccoDDBJ	BAA07321.1	GO:0009873
tobaccoDDBJ	BAA07321.1	GO:0016491
tobaccoDDBJ	BAA07321.1	GO:0016563
tobaccoDDBJ	BAA07321.1	GO:0045941
tobaccoDDBJ	BAA07322.1	GO:0003700
tobaccoDDBJ	BAA07322.1	GO:0005515
tobaccoDDBJ	BAA07322.1	GO:0006355
tobaccoDDBJ	BAA07322.1	GO:0009737
tobaccoDDBJ	BAA07322.1	GO:0009864
tobaccoDDBJ	BAA07322.1	GO:0010105
tobaccoDDBJ	BAA07322.1	GO:0016564
tobaccoDDBJ	BAA07322.1	GO:0016604
tobaccoDDBJ	BAA07323.1	GO:0003700
tobaccoDDBJ	BAA07323.1	GO:0005634
tobaccoDDBJ	BAA07323.1	GO:0006355
tobaccoDDBJ	BAA07323.1	GO:0006952
tobaccoDDBJ	BAA07323.1	GO:0009409
tobaccoDDBJ	BAA07323.1	GO:0009873
tobaccoDDBJ	BAA07323.1	GO:0016563
tobaccoDDBJ	BAA07324.1	GO:0003700
tobaccoDDBJ	BAA07324.1	GO:0005634
tobaccoDDBJ	BAA07324.1	GO:0006355
tobaccoDDBJ	BAA07324.1	GO:0009864
tobaccoDDBJ	BAA07324.1	GO:0009873
tobaccoDDBJ	BAA07324.1	GO:0016491
tobaccoDDBJ	BAA07324.1	GO:0016563
tobaccoDDBJ	BAA07324.1	GO:0045941
tobaccoDDBJ	BAA07663.1	GO:0004601
tobaccoDDBJ	BAA07663.1	GO:0005509
tobaccoDDBJ	BAA07663.1	GO:0005634
tobaccoDDBJ	BAA07663.1	GO:0005783
tobaccoDDBJ	BAA07663.1	GO:0006979
tobaccoDDBJ	BAA07663.1	GO:0009053
tobaccoDDBJ	BAA07663.1	GO:0009269
tobaccoDDBJ	BAA07663.1	GO:0009409
tobaccoDDBJ	BAA07663.1	GO:0009505
tobaccoDDBJ	BAA07663.1	GO:0020037
tobaccoDDBJ	BAA07663.1	GO:0042538
tobaccoDDBJ	BAA07664.1	GO:0004601
tobaccoDDBJ	BAA07664.1	GO:0005509
tobaccoDDBJ	BAA07664.1	GO:0005634
tobaccoDDBJ	BAA07664.1	GO:0005783
tobaccoDDBJ	BAA07664.1	GO:0006979
tobaccoDDBJ	BAA07664.1	GO:0009053
tobaccoDDBJ	BAA07664.1	GO:0009269
tobaccoDDBJ	BAA07664.1	GO:0009409
tobaccoDDBJ	BAA07664.1	GO:0009505
tobaccoDDBJ	BAA07664.1	GO:0020037
tobaccoDDBJ	BAA07664.1	GO:0042538
tobaccoDDBJ	BAA07734.1	GO:0005507
tobaccoDDBJ	BAA07734.1	GO:0005576
tobaccoDDBJ	BAA07734.1	GO:0008447
tobaccoDDBJ	BAA07734.1	GO:0009055
tobaccoDDBJ	BAA07734.1	GO:0055114
