source	ID	GO
GPL1829	Os000001_01	GO:0000166
GPL1829	Os000001_01	GO:0017111
GPL1829	Os000003_01	GO:0006397
GPL1829	Os000004_01	GO:0000166
GPL1829	Os000004_01	GO:0003676
GPL1829	Os000005_01	GO:0005739
GPL1829	Os000006_01	GO:0009536
GPL1829	Os000008_01	GO:0003824
GPL1829	Os000010_01	GO:0005488
GPL1829	Os000010_01	GO:0016301
GPL1829	Os000010_01	GO:0016773
GPL1829	Os000012_01	GO:0016021
GPL1829	Os000015_01	GO:0003824
GPL1829	Os000016_01	GO:0004221
GPL1829	Os000016_01	GO:0005634
GPL1829	Os000016_01	GO:0006511
GPL1829	Os000016_01	GO:0008234
GPL1829	Os000017_01	GO:0004674
GPL1829	Os000017_01	GO:0004713
GPL1829	Os000017_01	GO:0004871
GPL1829	Os000017_01	GO:0005524
GPL1829	Os000017_01	GO:0006355
GPL1829	Os000017_01	GO:0006468
GPL1829	Os000017_01	GO:0007165
GPL1829	Os000023_01	GO:0009536
GPL1829	Os000025_01	GO:0004818
GPL1829	Os000025_01	GO:0005524
GPL1829	Os000025_01	GO:0005737
GPL1829	Os000025_01	GO:0006424
GPL1829	Os000026_01	GO:0016023
GPL1829	Os000027_01	GO:0005739
GPL1829	Os000031_01	GO:0016491
GPL1829	Os000034_01	GO:0004144
GPL1829	Os000034_01	GO:0005783
GPL1829	Os000034_01	GO:0010025
GPL1829	Os000034_01	GO:0047196
GPL1829	Os000036_01	GO:0005886
GPL1829	Os000036_01	GO:0016021
GPL1829	Os000038_01	GO:0009536
GPL1829	Os000038_01	GO:0016491
GPL1829	Os000038_01	GO:0055114
GPL1829	Os000039_01	GO:0005488
GPL1829	Os000040_01	GO:0006950
GPL1829	Os000041_01	GO:0004364
GPL1829	Os000041_01	GO:0005737
GPL1829	Os000043_01	GO:0009536
GPL1829	Os000045_01	GO:0009536
GPL1829	Os000045_01	GO:0016491
GPL1829	Os000045_01	GO:0055114
GPL1829	Os000048_01	GO:0045449
GPL1829	Os000050_01	GO:0016023
GPL1829	Os000051_01	GO:0005739
GPL1829	Os000052_01	GO:0005199
GPL1829	Os000052_01	GO:0009664
GPL1829	Os000053_01	GO:0016023
GPL1829	Os000058_01	GO:0003924
GPL1829	Os000058_01	GO:0005198
GPL1829	Os000058_01	GO:0005525
GPL1829	Os000058_01	GO:0005874
GPL1829	Os000058_01	GO:0007018
GPL1829	Os000058_01	GO:0051258
GPL1829	Os000059_01	GO:0000104
GPL1829	Os000059_01	GO:0005749
GPL1829	Os000059_01	GO:0006099
GPL1829	Os000059_01	GO:0006121
GPL1829	Os000059_01	GO:0006810
GPL1829	Os000059_01	GO:0008177
GPL1829	Os000059_01	GO:0009055
GPL1829	Os000059_01	GO:0050660
GPL1829	Os000060_01	GO:0009536
GPL1829	Os000062_01	GO:0009536
GPL1829	Os000063_01	GO:0005515
GPL1829	Os000063_01	GO:0016023
GPL1829	Os000065_01	GO:0006629
GPL1829	Os000065_01	GO:0016023
GPL1829	Os000065_01	GO:0016788
GPL1829	Os000066_01	GO:0005634
GPL1829	Os000067_01	GO:0003676
GPL1829	Os000068_01	GO:0005739
GPL1829	Os000069_01	GO:0000151
GPL1829	Os000069_01	GO:0004842
GPL1829	Os000069_01	GO:0005488
GPL1829	Os000069_01	GO:0016567
GPL1829	Os000070_01	GO:0003735
GPL1829	Os000070_01	GO:0005840
GPL1829	Os000070_01	GO:0006412
GPL1829	Os000072_01	GO:0004298
GPL1829	Os000072_01	GO:0005634
GPL1829	Os000072_01	GO:0005829
GPL1829	Os000072_01	GO:0005839
GPL1829	Os000072_01	GO:0006511
GPL1829	Os000073_01	GO:0004674
GPL1829	Os000073_01	GO:0005524
GPL1829	Os000073_01	GO:0006468
GPL1829	Os000073_01	GO:0016023
GPL1829	Os000080_01	GO:0000151
GPL1829	Os000080_01	GO:0004842
GPL1829	Os000080_01	GO:0005488
GPL1829	Os000080_01	GO:0005739
GPL1829	Os000080_01	GO:0016567
GPL1829	Os000083_01	GO:0000166
GPL1829	Os000083_01	GO:0003899
GPL1829	Os000083_01	GO:0006350
GPL1829	Os000085_01	GO:0005576
GPL1829	Os000085_01	GO:0008083
GPL1829	Os000085_01	GO:0008283
GPL1829	Os000085_01	GO:0016023
GPL1829	Os000086_01	GO:0004674
GPL1829	Os000086_01	GO:0005524
GPL1829	Os000086_01	GO:0006468
GPL1829	Os000086_01	GO:0007165
GPL1829	Os000086_01	GO:0030145
GPL1829	Os000087_01	GO:0016020
GPL1829	Os000089_01	GO:0003677
GPL1829	Os000089_01	GO:0003735
GPL1829	Os000089_01	GO:0005840
GPL1829	Os000089_01	GO:0006412
GPL1829	Os000091_01	GO:0005515
GPL1829	Os000091_01	GO:0008270
GPL1829	Os000092_01	GO:0006950
GPL1829	Os000093_01	GO:0005515
GPL1829	Os000093_01	GO:0080008
GPL1829	Os000094_01	GO:0006950
GPL1829	Os000094_01	GO:0016023
GPL1829	Os000094_01	GO:0031072
GPL1829	Os000095_01	GO:0004108
GPL1829	Os000095_01	GO:0009536
GPL1829	Os000095_01	GO:0044262
GPL1829	Os000097_01	GO:0009536
GPL1829	Os000102_01	GO:0016023
GPL1829	Os000104_01	GO:0005506
GPL1829	Os000104_01	GO:0009685
GPL1829	Os000104_01	GO:0016491
GPL1829	Os000104_01	GO:0055114
GPL1829	Os000105_01	GO:0000785
GPL1829	Os000105_01	GO:0003677
GPL1829	Os000105_01	GO:0003682
GPL1829	Os000105_01	GO:0005634
GPL1829	Os000105_01	GO:0006306
GPL1829	Os000105_01	GO:0006333
GPL1829	Os000105_01	GO:0008168
GPL1829	Os000107_01	GO:0016020
GPL1829	Os000107_01	GO:0016023
GPL1829	Os000108_01	GO:0003700
GPL1829	Os000108_01	GO:0005634
GPL1829	Os000108_01	GO:0006355
GPL1829	Os000108_01	GO:0043565
GPL1829	Os000109_01	GO:0005488
GPL1829	Os000109_01	GO:0016773
GPL1829	Os000110_01	GO:0005622
GPL1829	Os000110_01	GO:0006396
GPL1829	Os000114_01	GO:0009536
GPL1829	Os000115_01	GO:0005524
GPL1829	Os000115_01	GO:0006457
GPL1829	Os000115_01	GO:0009536
GPL1829	Os000115_01	GO:0051082
GPL1829	Os000116_01	GO:0005524
GPL1829	Os000116_01	GO:0006950
GPL1829	Os000117_01	GO:0005886
GPL1829	Os000118_01	GO:0000287
GPL1829	Os000118_01	GO:0004478
GPL1829	Os000118_01	GO:0005524
GPL1829	Os000118_01	GO:0005737
GPL1829	Os000118_01	GO:0006730
GPL1829	Os000118_01	GO:0009651
GPL1829	Os000118_01	GO:0030955
GPL1829	Os000118_01	GO:0050897
GPL1829	Os000124_01	GO:0003677
GPL1829	Os000124_01	GO:0005634
GPL1829	Os000128_01	GO:0005634
GPL1829	Os000128_01	GO:0030528
GPL1829	Os000128_01	GO:0045449
GPL1829	Os000131_01	GO:0009536
GPL1829	Os000133_01	GO:0005739
GPL1829	Os000133_01	GO:0006813
GPL1829	Os000133_01	GO:0016491
GPL1829	Os000133_01	GO:0055114
GPL1829	Os000135_01	GO:0016020
GPL1829	Os000136_01	GO:0016020
GPL1829	Os000139_01	GO:0005515
GPL1829	Os000141_01	GO:0005524
GPL1829	Os000141_01	GO:0006464
GPL1829	Os000141_01	GO:0008641
GPL1829	Os000145_01	GO:0016020
GPL1829	Os000146_01	GO:0016023
GPL1829	Os000147_01	GO:0000786
GPL1829	Os000147_01	GO:0003677
GPL1829	Os000147_01	GO:0005634
GPL1829	Os000147_01	GO:0006334
GPL1829	Os000148_01	GO:0009536
GPL1829	Os000149_01	GO:0009536
