source	ID	GO
beanDDBJ	BAA05105.1	GO:0005529
beanDDBJ	BAA05105.1	GO:0015066
beanDDBJ	BAA19152.1	GO:0002213
beanDDBJ	BAA19152.1	GO:0003993
beanDDBJ	BAA19152.1	GO:0006979
beanDDBJ	BAA19152.1	GO:0008134
beanDDBJ	BAA19152.1	GO:0009611
beanDDBJ	BAA19152.1	GO:0009753
beanDDBJ	BAA19152.1	GO:0010149
beanDDBJ	BAA19152.1	GO:0042538
beanDDBJ	BAA19152.1	GO:0045735
beanDDBJ	BAA19152.1	GO:0046688
beanDDBJ	BAA20415.1	GO:0005344
beanDDBJ	BAA20415.1	GO:0009399
beanDDBJ	BAA20415.1	GO:0009735
beanDDBJ	BAA20415.1	GO:0009877
beanDDBJ	BAA20415.1	GO:0015671
beanDDBJ	BAA20415.1	GO:0019825
beanDDBJ	BAA20415.1	GO:0020037
beanDDBJ	BAA23563.1	GO:0002213
beanDDBJ	BAA23563.1	GO:0003993
beanDDBJ	BAA23563.1	GO:0006979
beanDDBJ	BAA23563.1	GO:0008134
beanDDBJ	BAA23563.1	GO:0009611
beanDDBJ	BAA23563.1	GO:0009753
beanDDBJ	BAA23563.1	GO:0010149
beanDDBJ	BAA23563.1	GO:0042538
beanDDBJ	BAA23563.1	GO:0045735
beanDDBJ	BAA23563.1	GO:0046688
beanDDBJ	BAA33879.1	GO:0004556
beanDDBJ	BAA33879.1	GO:0005509
beanDDBJ	BAA33879.1	GO:0005975
beanDDBJ	BAA33879.1	GO:0009737
beanDDBJ	BAA33879.1	GO:0009739
beanDDBJ	BAA33879.1	GO:0048046
beanDDBJ	BAA82346.1	GO:0004373
beanDDBJ	BAA82346.1	GO:0009011
beanDDBJ	BAA82346.1	GO:0009501
beanDDBJ	BAA82346.1	GO:0009507
beanDDBJ	BAA82346.1	GO:0019252
beanDDBJ	BAA82346.1	GO:0033840
beanDDBJ	BAA82348.2	GO:0003844
beanDDBJ	BAA82348.2	GO:0004553
beanDDBJ	BAA82348.2	GO:0009501
beanDDBJ	BAA82348.2	GO:0009507
beanDDBJ	BAA82348.2	GO:0010021
beanDDBJ	BAA82348.2	GO:0043169
beanDDBJ	BAA82348.2	GO:0047891
beanDDBJ	BAA82349.1	GO:0003844
beanDDBJ	BAA82349.1	GO:0004553
beanDDBJ	BAA82349.1	GO:0009501
beanDDBJ	BAA82349.1	GO:0009507
beanDDBJ	BAA82349.1	GO:0019252
beanDDBJ	BAA82349.1	GO:0043169
beanDDBJ	BAA82349.1	GO:0047891
beanDDBJ	BAA86927.1	GO:0005529
beanDDBJ	BAA86927.1	GO:0015066
beanDDBJ	BAA90521.1	GO:0004178
beanDDBJ	BAA90521.1	GO:0006508
beanDDBJ	BAA90521.1	GO:0006950
beanDDBJ	BAA90521.1	GO:0008270
beanDDBJ	BAA90521.1	GO:0009507
beanDDBJ	BAA90521.1	GO:0016804
beanDDBJ	BAA90521.1	GO:0030145
beanDDBJ	BAB62532.1	GO:0005200
beanDDBJ	BAB62532.1	GO:0005515
beanDDBJ	BAB62532.1	GO:0005524
beanDDBJ	BAB62532.1	GO:0005739
beanDDBJ	BAB62532.1	GO:0005856
beanDDBJ	BAB62532.1	GO:0006464
beanDDBJ	BAB62532.1	GO:0030036
beanDDBJ	BAB83605.1	GO:0003844
beanDDBJ	BAB83605.1	GO:0004553
beanDDBJ	BAB83605.1	GO:0005982
beanDDBJ	BAB83605.1	GO:0043169
beanDDBJ	BAB83606.1	GO:0003844
beanDDBJ	BAB83606.1	GO:0004553
beanDDBJ	BAB83606.1	GO:0005975
beanDDBJ	BAB83606.1	GO:0043169
beanDDBJ	BAB96578.1	GO:0003700
beanDDBJ	BAB96578.1	GO:0006355
beanDDBJ	BAB96578.1	GO:0009657
beanDDBJ	BAB96578.1	GO:0009733
beanDDBJ	BAB96578.1	GO:0009737
beanDDBJ	BAB96578.1	GO:0009790
beanDDBJ	BAB96578.1	GO:0016563
beanDDBJ	BAB96578.1	GO:0017163
beanDDBJ	BAC66692.1	GO:0005978
beanDDBJ	BAC66692.1	GO:0008415
beanDDBJ	BAC66692.1	GO:0008878
beanDDBJ	BAC66692.1	GO:0009501
beanDDBJ	BAC66692.1	GO:0009507
beanDDBJ	BAC66692.1	GO:0010170
beanDDBJ	BAC66692.1	GO:0019252
beanDDBJ	BAC66693.1	GO:0005978
beanDDBJ	BAC66693.1	GO:0008878
beanDDBJ	BAC66693.1	GO:0009501
beanDDBJ	BAC66693.1	GO:0009507
beanDDBJ	BAC66693.1	GO:0019252
beanDDBJ	BAC66693.1	GO:0030931
