A0A126TGT4	A0S16_gp01
A0A126TEZ4	A0S16_gp02
A0A126TH03	A0S16_gp03
A0A072TH07	A0S16_gp04
A0A126TGT6	A0S16_gp05
A0A126TGV6	A0S16_gp06
A0A126TEY6	A0S16_gp07
A0A126TGU6	A0S16_gp08
A0A126TGV0	A0S16_gp09
A0A126TGS8	A0S16_gp10
A0A126TGQ7	A0S16_gp11
A0A126TEY4	A0S16_gp12
A0A126TGZ6	A0S16_gp13
A0A126TGU9	A0S16_gp14
A0A126TGS6	A0S16_gp15
A0A126TGU8	A0S16_gp16
A0A126TEX6	A0S16_gp17
A0A126TGT8	A0S16_gp18
A0A126TGR8	A0S16_gp19
A0A126TGU5	A0S16_gp20
A0A126TGR7	A0S16_gp21
A0A126TGP5	A0S16_gp22
A0A126TEX1	A0S16_gp23
A0A126TGY7	A0S16_gp24
A0A126TGU1	A0S16_gp25
A0A126TGR5	A0S16_gp26
A0A126TGT9	A0S16_gp27
A0A126TEV9	A0S16_gp28
A0A126TGS7	A0S16_gp29
A0A126TGT7	A0S16_gp30
A0A072TH95	A0S16_gp31
A0A072TLK8	MTR_0001s0010
A0A072TJM4	MTR_0001s0070
A0A072TW51	MTR_0001s0100
A0A072TKK6	MTR_0001s0120
A0A072TJZ8	MTR_0001s0160
A0A072TLL4	MTR_0001s0190
A0A072TJM9	MTR_0001s0200
A0A072TW56	MTR_0001s0260
A0A072TKL4	MTR_0001s0360
A0A072TJZ9	MTR_0001s0380
A0A072TLM0	MTR_0001s0430
A0A072TJN9	MTR_0001s0480
A0A072TW62	MTR_0001s0490
A0A072TKM0	MTR_0001s0500
A0A072TK03	MTR_0001s0510
A0A072TLM7	MTR_0001s0560
A0A072TJQ0	MTR_0001s0570
A0A072TK06	MTR_0001s0580
A0A072TLN4	MTR_0001s0660
A0A072TJQ3	MTR_0001s0700
A0A072TVY2	MTR_0002s0030
A0A072TJF7	MTR_0002s0020
A0A072TKE7	MTR_0002s0040
A0A072TJR4	MTR_0002s0050
A0A072TLE4	MTR_0002s0070
G7J0Z0	MTR_0002s0090
A0A072TVY7	MTR_0002s0100
A0A072TKE9	MTR_0002s0110
A0A072TJR7	MTR_0002s0120
A0A072TLE8	MTR_0002s0140
A0A072TJG4	MTR_0002s0150
A0A072TVZ3	MTR_0002s0160
A0A072TKF2	MTR_0002s0170
A0A072TJS3	MTR_0002s0180
A0A072TLF2	MTR_0002s0200
A0A072TJG9	MTR_0002s0210
A0A072TVZ8	MTR_0002s0250
A0A072TJT2	MTR_0002s0270
A0A072TKF4	MTR_0002s0260
A0A072TLF8	MTR_0002s0280
A0A072TJH4	MTR_0002s0300
A0A072TW03	MTR_0002s0310
A0A072TKF9	MTR_0002s0330
A0A072TJT7	MTR_0002s0350
A0A072TLG3	MTR_0002s0360
A0A072TJH7	MTR_0002s0380
A0A072TW08	MTR_0002s0390
A0A072TKG2	MTR_0002s0420
A0A072TJU6	MTR_0002s0440
A0A072TLG9	MTR_0002s0510
A0A072TJI1	MTR_0002s0530
A0A072TW12	MTR_0002s0540
A0A072TKG5	MTR_0002s0550
A0A072TJV0	MTR_0002s0580
A0A072TLH3	MTR_0002s0590
A0A072TJI5	MTR_0002s0630
A0A072TW18	MTR_0002s0650
A0A072TKG8	MTR_0002s0660
A0A072TJV2	MTR_0002s0670
A0A072TLH7	MTR_0002s0680
A0A072TJI8	MTR_0002s0690
A0A072TW22	MTR_0002s0700
A0A072TKH2	MTR_0002s0730
A0A072TJV4	MTR_0002s0740
A0A072TLI0	MTR_0002s0750
A0A072TJJ2	MTR_0002s0760
A0A072TKH5	MTR_0002s0780
A0A072TW26	MTR_0002s0770
A0A072TJW6	MTR_0002s0790
A0A072TLG3	MTR_0002s0800
A0A072TJK1	MTR_0002s0820
A0A072TW31	MTR_0002s0860
A0A072TKI0	MTR_0002s0870
A0A072TJX0	MTR_0002s0880
A0A072TLJ0	MTR_0002s0890
A0A072TJL5	MTR_0002s0900
A0A072TW36	MTR_0002s0930
A0A072TKI8	MTR_0002s0960
A0A072TJX4	MTR_0002s0990
A0A072TLJ8	MTR_0002s1060
A0A072TJL9	MTR_0002s1160
A0A072TW40	MTR_0002s1180
A0A072TKJ3	MTR_0002s1200
G7K285	MTR_0002s1220
A0A072TW46	MTR_0002s1240
A0A072TJM1	MTR_0002s1250
A0A072TW46	MTR_0002s1260
A0A072TKK1	MTR_0002s1270
A0A072TJZ6	MTR_0002s1280
A0A072TJN1	MTR_0003s0010
A0A072TLA0	MTR_0003s0060
A0A072TJA7	MTR_0003s0070
A0A072TVU6	MTR_0003s0080
A0A072TKC0	MTR_0003s0090
A0A072TJN4	MTR_0003s0130
A0A072TLA5	MTR_0003s0160
A0A072TJB2	MTR_0003s0170
A0A072TVV1	MTR_0003s0180
A0A072TKC4	MTR_0003s0190
A0A072TJN6	MTR_0003s0210
A0A072TLB0	MTR_0003s0250
A0A072TJC3	MTR_0003s0260
A0A072TVV6	MTR_0003s0280
A0A072TKC9	MTR_0003s0290
A0A072TJP7	MTR_0003s0350
A0A072TLB7	MTR_0003s0390
A0A072TJC6	MTR_0003s0410
A0A072TVW1	MTR_0003s0430
A0A072TKD3	MTR_0003s0460
A0A072TJQ1	MTR_0003s0470
A0A072TLC3	MTR_0003s0480
A0A072TVW5	MTR_0003s0500
A0A072TKD7	MTR_0003s0530
A0A072TJQ4	MTR_0003s0540
A0A072TLC8	MTR_0003s0560
A0A072TVX0	MTR_0003s0580
A0A072TKE2	MTR_0003s0590
A0A072TJR1	MTR_0003s0610
A0A072TLD4	MTR_0003s0620
A0A072TVX7	MTR_0003s0630
A0A072TKE4	MTR_0003s0650
A0A072TJR3	MTR_0003s0660
A0A072TLE0	MTR_0003s0690
A0A072TL73	MTR_0004s0190
A0A072TJK9	MTR_0004s0130
A0A072TJ77	MTR_0004s0210
A0A072TVR8	MTR_0004s0220
I3SWP0	MTR_0004s0230
A0A072TJL0	MTR_0004s0240
A0A072TL79	MTR_0004s0250
A0A072TJ81	MTR_0004s0260
A0A072TVS4	MTR_0004s0300
A0A072TKA0	MTR_0004s0330
A0A072TJL4	MTR_0004s0350
A0A072TL84	MTR_0004s0360
A0A072TJ86	MTR_0004s0440
A0A072TVS8	MTR_0004s0450
A0A072TKA2	MTR_0004s0480
A0A072TJM5	MTR_0004s0490
A0A072TL89	MTR_0004s0510
A0A072TVT4	MTR_0004s0530
A0A072TKA7	MTR_0004s0600
A0A072TVU0	MTR_0004s0610
A0A072TKB2	MTR_0004s0650
A0A072TVQ1	MTR_0005s0110
A0A072TJ62	MTR_0005s0070
G7JUR4	MTR_0005s0130
A0A072TJK7	MTR_0005s0140
A0A072TL65	MTR_0005s0150
A0A072TJ66	MTR_0005s0160
A0A072TVQ8	MTR_0005s0200
A0A072TK94	MTR_0005s0210
A0A072TJK8	MTR_0005s0220
A0A072TL69	MTR_0005s0230
A0A072TJ71	MTR_0005s0240
