V7CTG7	PHAVU_001G0001001
V7CT86	PHAVU_001G0001002
V7CTH3	PHAVU_001G0002000
V7CR28	PHAVU_001G0002001
V7CUK2	PHAVU_001G000300g
V7CT91	PHAVU_001G000400g
V7CR33	PHAVU_001G000500g
V7CTH8	PHAVU_001G000600g
V7CQU9	PHAVU_001G000700g
V7CT95	PHAVU_001G000800g
V7CTI3	PHAVU_001G000900g
V7CUL4	PHAVU_001G001000g
V7CTA0	PHAVU_001G001100g
V7CR44	PHAVU_001G001200g
V7CUL7	PHAVU_001G001300g
V7CTJ4	PHAVU_001G0014000
V7CTA4	PHAVU_001G0014001
V7CUM3	PHAVU_001G001500g
V7CQW3	PHAVU_001G001600g
V7CTB0	PHAVU_001G001700g
V7CR56	PHAVU_001G001800g
V7CTK1	PHAVU_001G001900g
V7CUM6	PHAVU_001G002000g
V7CQX0	PHAVU_001G002100g
V7CTB4	PHAVU_001G002200g
V7CR61	PHAVU_001G002300g
V7CUN2	PHAVU_001G002400g
V7CTL0	PHAVU_001G002800g
V7CQX5	PHAVU_001G002500g
V7CR66	PHAVU_001G002600g
V7CQY2	PHAVU_001G002700g
V7CTC4	PHAVU_001G002900g
V7CR72	PHAVU_001G003000g
V7CTL6	PHAVU_001G003100g
V7CUP3	PHAVU_001G003200g
V7CQZ0	PHAVU_001G003300g
V7CTC8	PHAVU_001G003400g
V7CR78	PHAVU_001G003500g
V7CTM3	PHAVU_001G003600g
V7CUP8	PHAVU_001G003700g
V7CTD3	PHAVU_001G003800g
V7CR93	PHAVU_001G003900g
V7CTN8	PHAVU_001G004000g
V7CUR2	PHAVU_001G004100g
V7CR11	PHAVU_001G004200g
V7CTE9	PHAVU_001G004300g
V7CRA5	PHAVU_001G004400g
V7CTQ9	PHAVU_001G004500g
V7CUT0	PHAVU_001G004600g
V7CR25	PHAVU_001G004700g
V7CTG3	PHAVU_001G004800g
V7CRA9	PHAVU_001G004900g
V7CUT5	PHAVU_001G005000g
V7CTG5	PHAVU_001G005100g
V7CRB4	PHAVU_001G005200g
V7CTR9	PHAVU_001G005300g
V7CUT8	PHAVU_001G0054001
V7CR42	PHAVU_001G005500g
V7CTH1	PHAVU_001G005600g
V7CRB9	PHAVU_001G005700g
V7CUU3	PHAVU_001G005800g
V7CR46	PHAVU_001G005900g
V7CTH6	PHAVU_001G006000g
V7CRC4	PHAVU_001G006100g
V7CTS9	PHAVU_001G006200g
V7CUU8	PHAVU_001G006300g
V7CR51	PHAVU_001G006400g
V7CTH9	PHAVU_001G006500g
V7CRC8	PHAVU_001G006600g
V7CTT4	PHAVU_001G006700g
V7CR55	PHAVU_001G006800g
V7CUV2	PHAVU_001G006900g
V7CTI4	PHAVU_001G007000g
V7CRD4	PHAVU_001G007100g
V7CTT9	PHAVU_001G007200g
V7CUV6	PHAVU_001G007300g
V7CRD9	PHAVU_001G007400g
V7CTU5	PHAVU_001G007500g
V7CUW0	PHAVU_001G007600g
V7CR63	PHAVU_001G007700g
V7CTJ1	PHAVU_001G007800g
V7CRE4	PHAVU_001G007900g
V7CTU8	PHAVU_001G008000g
V7CUW4	PHAVU_001G008100g
V7CR69	PHAVU_001G008200g
V7CTJ6	PHAVU_001G008300g
V7CRF0	PHAVU_001G008400g
V7CTV4	PHAVU_001G008500g
V7CUW8	PHAVU_001G008600g
V7CR74	PHAVU_001G008700g
V7CTJ9	PHAVU_001G008800g
V7CRF3	PHAVU_001G008900g
V7CTV9	PHAVU_001G009000g
T2DNC5	PHAVU_001G009100g
V7CRF8	PHAVU_001G009200g
V7CTW3	PHAVU_001G009300g
V7CUX6	PHAVU_001G009400g
V7CR83	PHAVU_001G009500g
V7CTK9	PHAVU_001G009600g
V7CRG1	PHAVU_001G009700g
V7CTW6	PHAVU_001G009800g
V7CUY1	PHAVU_001G009900g
V7CRG5	PHAVU_001G0100000
V7CTL2	PHAVU_001G0100001
V7CTX0	PHAVU_001G010100g
V7CUY5	PHAVU_001G010200g
V7B6Y7	PHAVU_001G010300g
V7CTL8	PHAVU_001G010400g
V7CRH0	PHAVU_001G010500g
V7CTX3	PHAVU_001G010600g
V7CUZ0	PHAVU_001G010700g
V7CR96	PHAVU_001G010800g
V7CTM1	PHAVU_001G010900g
V7CRH3	PHAVU_001G011000g
V7CUZ5	PHAVU_001G011100g
V7CRA0	PHAVU_001G011200g
V7CTM4	PHAVU_001G011300g
V7CRH8	PHAVU_001G011400g
V7CTY1	PHAVU_001G011500g
V7CUZ7	PHAVU_001G011600g
V7CRA4	PHAVU_001G011700g
V7CTM8	PHAVU_001G011800g
V7CRI2	PHAVU_001G011900g
V7CTY2	PHAVU_001G012000g
V7CV01	PHAVU_001G012100g
V7CRA8	PHAVU_001G012200g
V7CRB2	PHAVU_001G012600g
V7CRI7	PHAVU_001G012300g
V7CTY7	PHAVU_001G012400g
V7CV06	PHAVU_001G012500g
V7CTN7	PHAVU_001G012700g
V7CRJ2	PHAVU_001G012800g
V7CTZ1	PHAVU_001G012900g
V7CRB8	PHAVU_001G013000g
V7CTP1	PHAVU_001G013100g
V7CRK0	PHAVU_001G013200g
V7CTZ7	PHAVU_001G013300g
V7CRC3	PHAVU_001G013400g
V7CRK5	PHAVU_001G013500g
V7CU01	PHAVU_001G013600g
V7CV20	PHAVU_001G013700g
V7CRC9	PHAVU_001G013800g
V7CTP8	PHAVU_001G013900g
V7CRK8	PHAVU_001G014000g
V7CU03	PHAVU_001G014100g
V7CV24	PHAVU_001G014200g
V7CRD3	PHAVU_001G014300g
V7CTQ2	PHAVU_001G014400g
V7CRL3	PHAVU_001G014500g
V7CU08	PHAVU_001G014600g
V7CTQ5	PHAVU_001G014700g
V7CRL6	PHAVU_001G014800g
V7CRE8	PHAVU_001G0152000
V7CU12	PHAVU_001G014900g
V7CRE3	PHAVU_001G015000g
V7CTQ8	PHAVU_001G015100g
V7CV36	PHAVU_001G0152001
V7CTR1	PHAVU_001G015300g
V7CRM6	PHAVU_001G015400g
V7CU19	PHAVU_001G015500g
V7CV41	PHAVU_001G015600g
V7CRN2	PHAVU_001G015700g
V7CU22	PHAVU_001G015800g
V7CV47	PHAVU_001G015900g
V7CU25	PHAVU_001G016000g
V7CV50	PHAVU_001G016100g
V7CRG4	PHAVU_001G016200g
V7CTS5	PHAVU_001G016300g
V7CRP0	PHAVU_001G016400g
V7CU29	PHAVU_001G016500g
V7CV53	PHAVU_001G016600g
V7CRH2	PHAVU_001G016700g
V7CTT0	PHAVU_001G016800g
V7CU34	PHAVU_001G016900g
V7CV57	PHAVU_001G017000g
V7CRH6	PHAVU_001G017100g
V7CRQ0	PHAVU_001G017200g
V7CU39	PHAVU_001G017300g
V7CV63	PHAVU_001G017400g
V5N8B0	PHAVU_001G017500g
V7CTU0	PHAVU_001G017600g
V7CU43	PHAVU_001G017700g
V7CV68	PHAVU_001G017800g
V7CRI6	PHAVU_001G017900g
V7CTU2	PHAVU_001G018000g
V7CRR0	PHAVU_001G018100g
V7CU48	PHAVU_001G018200g
V7CV73	PHAVU_001G018300g
V7CRJ0	PHAVU_001G018400g
V7CRR5	PHAVU_001G018500g
V7CRJ3	PHAVU_001G018600g
V7CTV3	PHAVU_001G018700g
V7CRR8	PHAVU_001G018800g
V7CU56	PHAVU_001G018900g
V7CV81	PHAVU_001G019000g
V7CRJ8	PHAVU_001G019100g
V7CTV8	PHAVU_001G019200g
V7CRS3	PHAVU_001G019300g
V7CU59	PHAVU_001G019400g
V7CV88	PHAVU_001G019500g
V7CRK3	PHAVU_001G019600g
V7CTW2	PHAVU_001G019700g
V7CRS7	PHAVU_001G019800g
V7CU64	PHAVU_001G019900g
V7CV92	PHAVU_001G020000g
V7CRL4	PHAVU_001G020400g
V7CRT1	PHAVU_001G020100g
V7CU69	PHAVU_001G020200g
V7CV96	PHAVU_001G020300g
V7CTX1	PHAVU_001G020500g
V7CRT5	PHAVU_001G020600g
V7CU74	PHAVU_001G020700g
V7CVA1	PHAVU_001G020800g
V7CRL7	PHAVU_001G020900g
V7CTX4	PHAVU_001G021000g
V7CRT8	PHAVU_001G021100g
V7CU79	PHAVU_001G021200g
V7CVA3	PHAVU_001G021300g
V7CRM3	PHAVU_001G021400g
V7CTY0	PHAVU_001G021500g
V7CRU2	PHAVU_001G021600g
V7CU83	PHAVU_001G021700g
V7CVA8	PHAVU_001G021800g
V7CTY3	PHAVU_001G021900g
V7CRU5	PHAVU_001G022000g
V7CU88	PHAVU_001G022100g
V7CVB3	PHAVU_001G022200g
V7CTY8	PHAVU_001G022300g
V7CU93	PHAVU_001G022400g
V7CVC1	PHAVU_001G022500g
V7CRN8	PHAVU_001G022600g
V7CTZ3	PHAVU_001G022700g
V7CRV4	PHAVU_001G022800g
V7CU98	PHAVU_001G022900g
V7CVC5	PHAVU_001G023000g
V7CRP3	PHAVU_001G023100g
V7CTZ6	PHAVU_001G023200g
V7CUA4	PHAVU_001G023300g
V7CVC7	PHAVU_001G023400g
V7CRP8	PHAVU_001G023500g
V7CU02	PHAVU_001G023600g
V7CRW3	PHAVU_001G023700g
V7CUA9	PHAVU_001G023800g
V7CRQ3	PHAVU_001G023900g
V7CU06	PHAVU_001G024000g
V7CRW8	PHAVU_001G024100g
V7CUB4	PHAVU_001G024200g
V7CVD5	PHAVU_001G024300g
V7CRQ8	PHAVU_001G024400g
V7CU09	PHAVU_001G024500g
V7CRX2	PHAVU_001G024600g
V7CUB8	PHAVU_001G024700g
V7CVE0	PHAVU_001G024800g
V7CRR3	PHAVU_001G024900g
V7CU13	PHAVU_001G025000g
