geneID	Description	Pathway	Pathway_map
100840028	60S ribosomal protein L34	Ribosome - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03010/image
100840029	L-gulonolactone oxidase 2	Ascorbate and aldarate metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00053/image
100840029	L-gulonolactone oxidase 2	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100840026	uncharacterized LOC100840026, transcript variant X2	-	-
100840025	uncharacterized protein LOC100840025	-	-
100840022	psbP domain-containing protein 3, chloroplastic	-	-
100840023	BTB/POZ and MATH domain-containing protein 1-like	-	-
100840021	uncharacterized protein LOC100840021	-	-
100821548	ran guanine nucleotide release factor	-	-
100821549	chlorophyll a-b binding protein CP26, chloroplastic	Photosynthesis - antenna proteins - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00196/image
100821549	chlorophyll a-b binding protein CP26, chloroplastic	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100845139	potassium transporter 1	-	-
100840794	uncharacterized protein LOC100840794 isoform X2	-	-
100840796	cationic amino acid transporter 6, chloroplastic	-	-
100840797	L-type lectin-domain containing receptor kinase IX.1	-	-
100840790	uncharacterized protein LOC100840790	-	-
100840791	uncharacterized protein LOC100840791	-	-
100840793	uncharacterized protein LOC100840793	-	-
100840798	probable xyloglucan endotransglucosylase/hydrolase protein 8	-	-
100840799	uncharacterized protein LOC100840799	-	-
106866396	uncharacterized protein LOC106866396	-	-
106866397	uncharacterized protein LOC106866397	-	-
106866394	protein enabled homolog isoform X2	-	-
106866395	dynein assembly factor 3, axonemal homolog	-	-
112270194	uncharacterized LOC112270194	-	-
106866399	uncharacterized protein DDB_G0290803-like	-	-
100845133	MKK3-1; uncharacterized protein LOC100845133	MAPK signaling pathway - plant - Brachypodium distachyon	http://rest.kegg.jp/get/bdi04016/image
100845131	probable leucine-rich repeat receptor-like protein kinase At1g35710	-	-
100835938	putative calcium-binding protein CML23	Plant-pathogen interaction - Brachypodium distachyon	http://rest.kegg.jp/get/bdi04626/image
100835939	protein terminal ear1 homolog	-	-
112270195	uncharacterized LOC112270195	-	-
104582689	uncharacterized protein LOC104582689 isoform X1	-	-
104582688	holotricin-3	-	-
112270040	uncharacterized protein LOC112270040	-	-
100835931	protein SPT2 homolog	-	-
100835932	ABC transporter B family member 5 isoform X1	ABC transporters - Brachypodium distachyon	http://rest.kegg.jp/get/bdi02010/image
104582684	uncharacterized protein LOC104582684 isoform X1	-	-
100835934	putative receptor protein kinase ZmPK1	-	-
100835935	coiled-coil domain-containing protein SCD2	-	-
100835936	Holliday junction resolvase MOC1, chloroplastic	-	-
100835937	adenylate isopentenyltransferase	Zeatin biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00908/image
100835937	adenylate isopentenyltransferase	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100835937	adenylate isopentenyltransferase	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
106866648	uncharacterized LOC106866648	-	-
100837329	WD repeat-containing protein PCN	Ribosome biogenesis in eukaryotes - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03008/image
106866644	uncharacterized LOC106866644	-	-
106866645	uncharacterized LOC106866645, transcript variant X1	-	-
106866646	uncharacterized protein LOC106866646 isoform X1	-	-
100837328	G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5	-	-
106866640	uncharacterized LOC106866640, transcript variant X2	-	-
106866641	proteoglycan 4	-	-
106866642	uncharacterized LOC106866642, transcript variant X1	-	-
106866643	uncharacterized LOC106866643, transcript variant X1	-	-
100841771	CCR4-NOT transcription complex subunit 9	RNA degradation - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03018/image
100841770	uncharacterized protein LOC100841770 isoform X2	-	-
100841773	xylanase inhibitor protein 1	Amino sugar and nucleotide sugar metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00520/image
100841773	xylanase inhibitor protein 1	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100841772	AP2-like ethylene-responsive transcription factor ANT isoform X2	-	-
100841775	50S ribosomal protein L11, chloroplastic	Ribosome - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03010/image
100841774	acyl-coenzyme A oxidase 2, peroxisomal isoform X1	Fatty acid degradation - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00071/image
100841774	acyl-coenzyme A oxidase 2, peroxisomal isoform X1	alpha-Linolenic acid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00592/image
100841774	acyl-coenzyme A oxidase 2, peroxisomal isoform X1	Biosynthesis of unsaturated fatty acids - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01040/image
100841774	acyl-coenzyme A oxidase 2, peroxisomal isoform X1	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100841774	acyl-coenzyme A oxidase 2, peroxisomal isoform X1	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
100841774	acyl-coenzyme A oxidase 2, peroxisomal isoform X1	Fatty acid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01212/image
100841774	acyl-coenzyme A oxidase 2, peroxisomal isoform X1	Peroxisome - Brachypodium distachyon	http://rest.kegg.jp/get/bdi04146/image
100841776	protein FAM136A	-	-
100841779	dentin sialophosphoprotein	-	-
104583082	uncharacterized protein LOC104583082	-	-
104583083	CCR4-NOT transcription complex subunit 8	RNA degradation - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03018/image
104583086	uncharacterized protein LOC104583086	-	-
104583087	uncharacterized protein LOC104583087	-	-
104583084	uncharacterized protein LOC104583084	-	-
104583089	uncharacterized protein LOC104583089	-	-
104582355	guanine nucleotide-binding protein subunit gamma 3 isoform X1	-	-
104582354	DNA polymerase alpha catalytic subunit-like	-	-
104582357	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4C	-	-
104582351	uncharacterized protein LOC104582351	-	-
104582350	probable transcriptional regulator RABBIT EARS	-	-
100833473	uncharacterized protein LOC100833473	-	-
100833471	guanine nucleotide-binding protein subunit beta-like protein isoform X1	-	-
100833470	GDSL esterase/lipase At1g74460	-	-
100833476	uncharacterized protein LOC100833476 isoform X1	-	-
100833475	aromatic-L-amino-acid decarboxylase	Tyrosine metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00350/image
100833475	aromatic-L-amino-acid decarboxylase	Phenylalanine metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00360/image
100833475	aromatic-L-amino-acid decarboxylase	Tryptophan metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00380/image
100833475	aromatic-L-amino-acid decarboxylase	Isoquinoline alkaloid biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00950/image
100833475	aromatic-L-amino-acid decarboxylase	Betalain biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00965/image
100833475	aromatic-L-amino-acid decarboxylase	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100833475	aromatic-L-amino-acid decarboxylase	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
100833474	glycerol-3-phosphate dehydrogenase [NAD(+)] isoform X1	Glycerophospholipid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00564/image
100833474	glycerol-3-phosphate dehydrogenase [NAD(+)] isoform X1	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
100833479	beta-arabinofuranosyltransferase RAY1	-	-
100833478	fasciclin-like arabinogalactan protein 13	-	-
100821581	pentatricopeptide repeat-containing protein CRP1, chloroplastic	-	-
112271799	uncharacterized protein LOC112271799 isoform X1	-	-
112271798	uncharacterized LOC112271798	-	-
112271793	uncharacterized LOC112271793	-	-
112271792	uncharacterized protein LOC112271792	-	-
112271791	uncharacterized LOC112271791	-	-
112271790	uncharacterized LOC112271790	-	-
112271797	uncharacterized protein LOC112271797	-	-
112271796	uncharacterized LOC112271796	-	-
112271795	uncharacterized LOC112271795	-	-
112271794	uncharacterized LOC112271794	-	-
100821582	uncharacterized protein LOC100821582 isoform X1	-	-
100828012	microtubule-associated protein 70-1	-	-
6439791	trnR, BrdiC_t013; tRNA-Arg	Aminoacyl-tRNA biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00970/image
6439790	rpl32, BrdiC_p073; ribosomal protein L32	Ribosome - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03010/image
6439793	ccsA, BrdiC_p074; cytochrome c biogenesis protein	-	-
6439792	trnL, BrdiC_t030; tRNA-Leu	Aminoacyl-tRNA biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00970/image
6439795	rps2, BrdiC_p018; ribosomal protein S2	Ribosome - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03010/image
6439794	trnG, BrdiC_t007; tRNA-Gly	Aminoacyl-tRNA biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00970/image
6439797	trnR, BrdiC_t032; tRNA-Arg	Aminoacyl-tRNA biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00970/image
6439796	trnN, BrdiC_t031; tRNA-Asn	Aminoacyl-tRNA biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00970/image
6439799	rpl2, BrdiC_p086; ribosomal protein L2	Ribosome - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03010/image
6439798	psbA, BrdiC_p001; photosystem II protein D1	Photosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00195/image
6439798	psbA, BrdiC_p001; photosystem II protein D1	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100832702	methyl-CpG-binding domain-containing protein 2 isoform X2	-	-
100839135	mannan endo-1,4-beta-mannosidase 8	Fructose and mannose metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00051/image
100839136	metallothionein-like protein 1	-	-
100839137	low affinity sulfate transporter 3	-	-
100839130	putative ripening-related protein 5	-	-
100839131	probable inactive purple acid phosphatase 29 isoform X1	-	-
100832704	probable WRKY transcription factor 4	-	-
100832705	probable carboxylesterase 18	-	-
100832708	BTB/POZ domain and ankyrin repeat-containing protein NH5.2	Plant hormone signal transduction - Brachypodium distachyon	http://rest.kegg.jp/get/bdi04075/image
100832709	GATA transcription factor 2	-	-
100839138	sister-chromatid cohesion protein 3 isoform X2	-	-
100839139	allene oxide synthase 1, chloroplastic	alpha-Linolenic acid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00592/image
100839139	allene oxide synthase 1, chloroplastic	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100839139	allene oxide synthase 1, chloroplastic	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
100840808	glycine-rich RNA-binding protein 4, mitochondrial	-	-
100840809	pectin acetylesterase 5	-	-
100845878	cryptochrome DASH, chloroplastic/mitochondrial isoform X2	-	-
100845879	uncharacterized protein LOC100845879	-	-
100845876	uncharacterized protein LOC100845876 isoform X1	-	-
100840805	aspartyl protease family protein At5g10770	-	-
100845874	COBW domain-containing protein 1	-	-
100845875	phospholipase A I	-	-
100840800	uncharacterized protein LOC100840800 isoform X1	-	-
100840801	GDSL esterase/lipase At4g26790	-	-
100845870	uncharacterized protein LOC100845870	-	-
100840803	ethylene-responsive transcription factor 1 isoform X1	-	-
6439869	ndhK, BrdiC_p029; NADH dehydrogenase subunit K	Oxidative phosphorylation - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00190/image
6439869	ndhK, BrdiC_p029; NADH dehydrogenase subunit K	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
6439868	ndhJ, BrdiC_p028; NADH dehydrogenase subunit J	Oxidative phosphorylation - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00190/image
6439868	ndhJ, BrdiC_p028; NADH dehydrogenase subunit J	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
6439861	psbH, BrdiC_p054; photosystem II protein H	Photosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00195/image
6439861	psbH, BrdiC_p054; photosystem II protein H	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
6439860	psbN, BrdiC_p053; photosystem II protein N	-	-
6439867	psbL, BrdiC_p039; photosystem II protein L	Photosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00195/image
6439867	psbL, BrdiC_p039; photosystem II protein L	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
6439866	psbJ, BrdiC_p038; photosystem II protein J	Photosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00195/image
6439866	psbJ, BrdiC_p038; photosystem II protein J	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
6439865	petA, BrdiC_p037; cytochrome f	Photosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00195/image
6439865	petA, BrdiC_p037; cytochrome f	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
6439864	psbC, BrdiC_p007; photosystem II 44 kDa protein	Photosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00195/image
