geneID	Description	Pathway	Pathway_map
Dmel_CR45614	CR45614	-	-
Dmel_CG11284	CG11284; uncharacterized protein, isoform B	Nitrogen metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00910/image
Dmel_CR45616	CR45616	-	-
Dmel_CR45617	CR45617	-	-
Dmel_CR45610	CR45610	-	-
Dmel_CR45611	CR45611	-	-
Dmel_CR45612	CR45612	-	-
Dmel_CR45615	CR45615	-	-
Dmel_CR45618	CR45618	-	-
Dmel_CR45619	CR45619	-	-
Dmel_CG5212	Pli; pellino, isoform B	-	-
Dmel_CG5213	CG5213; uncharacterized protein	-	-
Dmel_CG5210	Idgf6; imaginal disc growth factor 6, isoform B	-	-
Dmel_CG11286	CG11286; uncharacterized protein, isoform B	-	-
Dmel_CG5216	Sirt1; sirtuin 1	FoxO signaling pathway - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04068/image
Dmel_CG5216	Sirt1; sirtuin 1	Longevity regulating pathway - multiple species - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04213/image
Dmel_CG5217	CG5217; uncharacterized protein	-	-
Dmel_CG5214	CG5214; uncharacterized protein	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG5214	CG5214; uncharacterized protein	Lysine degradation - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00310/image
Dmel_CG5214	CG5214; uncharacterized protein	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CG5214	CG5214; uncharacterized protein	Carbon metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01200/image
Dmel_CR44379	CR44379	-	-
Dmel_CG11281	snky; sneaky	-	-
Dmel_CG14995	CG14995; uncharacterized protein, isoform F	-	-
Dmel_CG11280	trn; tartan, isoform B	-	-
Dmel_CG10772	Fur1; furin 1, isoform B	-	-
Dmel_CG10776	wit; wishful thinking, isoform B	TGF-beta signaling pathway - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04350/image
Dmel_CG10777	mahe; maheshvara, isoform C	Spliceosome - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03040/image
Dmel_CG10778	CG10778; uncharacterized protein, isoform B	Terpenoid backbone biosynthesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00900/image
Dmel_CR45613	CR45613	-	-
Dmel_CR45245	CR45245	-	-
Dmel_CG4842	CG4842; uncharacterized protein	-	-
Dmel_CG43750	CG43750; uncharacterized protein, isoform A	-	-
Dmel_CG12883	CG12883; uncharacterized protein	-	-
Dmel_CG12880	CG12880; uncharacterized protein	-	-
Dmel_CG43755	CG43755; uncharacterized protein, isoform B	-	-
Dmel_CG43756	Slob; slowpoke binding protein, isoform A	-	-
Dmel_CG12885	CG12885; uncharacterized protein, isoform B	-	-
Dmel_CG12558	intr; intrepid	-	-
Dmel_CG43759	CG43759; uncharacterized protein, isoform B	-	-
Dmel_CG4427	cbt; cabut, isoform C	-	-
Dmel_CG33182	Kdm4B; lysine (K)-specific demethylase 4B, isoform B	-	-
Dmel_CR43817	CR43817	-	-
Dmel_CG5235	CG5235; uncharacterized protein, isoform B	-	-
Dmel_CG12950	CG12950; uncharacterized protein, isoform B	-	-
Dmel_CG4847	CG4847; uncharacterized protein, isoform A	Lysosome - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04142/image
Dmel_CG13533	asrij; asrij, isoform A	-	-
Dmel_CG12951	CG12951; uncharacterized protein	-	-
Dmel_CG10488	eyg; eyegone, isoform B	-	-
Dmel_CG11209	ppk6; pickpocket 6	-	-
Dmel_CG13532	CG13532; uncharacterized protein	-	-
Dmel_CG5580	sbb; scribbler, isoform D	-	-
Dmel_CG33114	Gyc32E; guanyl cyclase at 32E, isoform D	Purine metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00230/image
Dmel_CG10480	Rcc1; regulator of chromosome condensation 1, isoform A	-	-
Dmel_CG10481	CG10481; uncharacterized protein	-	-
Dmel_CG10483	CG10483; uncharacterized protein	-	-
Dmel_CG10043	RtGEF; Rho-type guanine nucleotide exchange factor, isoform F	-	-
Dmel_CG10486	CG10486; uncharacterized protein, isoform C	-	-
Dmel_CG7364	TM9SF4; transmembrane 9 superfamily protein member 4, isoform B	-	-
Dmel_CR43810	CR43810	-	-
Dmel_CR45835	CR45835	-	-
Dmel_CG8843	Sec5; secretory 5	-	-
Dmel_CG12621	beat-IIIa; beat-IIIa, isoform D	-	-
Dmel_CG7242	Spc25; Spc25	-	-
Dmel_CG11128	slif; slimfast, isoform C	-	-
Dmel_CG5581	Ote; otefin	-	-
Dmel_CG7241	Cyp304a1	-	-
Dmel_CG7716	CG7716; uncharacterized protein	-	-
Dmel_CR32160	CR32160	-	-
Dmel_CG41534	Pp1-Y1; protein phosphatase 1, Y-linked 1	mRNA surveillance pathway - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03015/image
Dmel_CR32162	snRNA:U12; small nuclear RNA U12	-	-
Dmel_CR43811	CR43811	-	-
Dmel_CG8152	CG8152; uncharacterized protein	-	-
Dmel_CR15061	CR15061	-	-
Dmel_CG5215	Zn72D; Zinc-finger protein at 72D, isoform E	-	-
Dmel_CG43770	Sxl; Sex lethal, isoform L	-	-
Dmel_CR40172	CR40172	-	-
Dmel_CG1168	7B2; 7B2, isoform B	-	-
Dmel_CG4449	Rad60; Rad60, isoform D	-	-
Dmel_CG2076	CG2076; uncharacterized protein, isoform B	-	-
Dmel_CG2075	aly; always early, isoform B	-	-
