geneID	Description	Pathway	Pathway_map
102465322	MIR6555; gga-miR-6555-5p	-	-
102465323	MIR6559; gga-miR-6559-5p	-	-
102465320	MIR6554; gga-miR-6554-5p	-	-
102465321	MIR222B; gga-miR-222b-5p	-	-
102465326	MIR6565; gga-miR-6565-5p	-	-
102465327	MIR6566; gga-miR-6566-5p	-	-
102465324	MIR6561; gga-miR-6561-5p	-	-
102465325	MIR3064; gga-miR-3064-5p	-	-
102465328	MIR6567; gga-miR-6567-5p	-	-
102465329	MIR6569; gga-miR-6569-5p	-	-
100857732	MAPRE3; microtubule-associated protein RP/EB family member 3 isoform X2	-	-
100857733	CORIN; atrial natriuretic peptide-converting enzyme isoform X1	-	-
101750869	uncharacterized LOC101750869	-	-
100857736	EIF2B1; translation initiation factor eIF-2B subunit alpha	RNA transport - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03013/image
425878	leukocyte immunoglobulin-like receptor subfamily B member 3A	-	-
101750863	uncharacterized protein LOC101750863	-	-
101750862	uncharacterized LOC101750862, transcript variant X2	-	-
101750861	CCDC110; coiled-coil domain-containing protein 110	-	-
100857739	ANKLE1; LOW QUALITY PROTEIN: ankyrin repeat and LEM domain-containing protein 1	-	-
112532520	uncharacterized LOC112532520	-	-
112532521	cingulin-like	-	-
112532522	uncharacterized LOC112532522	-	-
112532523	uncharacterized protein LOC112532523	-	-
112532524	uncharacterized LOC112532524	-	-
112532525	uncharacterized LOC112532525	-	-
112532526	uncharacterized LOC112532526	-	-
112532527	uncharacterized LOC112532527, transcript variant X1	-	-
112532528	uncharacterized LOC112532528	-	-
112532529	uncharacterized LOC112532529	-	-
107054268	uncharacterized LOC107054268	-	-
107054262	uncharacterized LOC107054262	-	-
107054261	uncharacterized LOC107054261	-	-
107054267	DPEP2; dipeptidase 2 isoform X1	-	-
107054264	uncharacterized LOC107054264	-	-
107054265	IRX6; iroquois-class homeodomain protein IRX-6	-	-
101751275	uncharacterized LOC101751275	-	-
431449	RFKL; riboflavin kinase	Riboflavin metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00740/image
431449	RFKL; riboflavin kinase	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
112530196	transmembrane protein 79-like	-	-
101751277	CENPX; centromere protein X	Fanconi anemia pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03460/image
101751273	FAM219B; protein FAM219B isoform X1	-	-
776286	UBE3B; ubiquitin-protein ligase E3B	Ubiquitin mediated proteolysis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04120/image
776282	PPIA; peptidyl-prolyl cis-trans isomerase A	Necroptosis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04217/image
424839	DGKG; diacylglycerol kinase gamma isoform X2	Glycerolipid metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00561/image
424839	DGKG; diacylglycerol kinase gamma isoform X2	Glycerophospholipid metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00564/image
424839	DGKG; diacylglycerol kinase gamma isoform X2	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
424839	DGKG; diacylglycerol kinase gamma isoform X2	Phosphatidylinositol signaling system - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04070/image
101752169	uncharacterized protein LOC101752169	-	-
424831	ITM2C; integral membrane protein 2C	-	-
424830	CAB39; calcium-binding protein 39	mTOR signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04150/image
424833	GPR35; G-protein coupled receptor 35	Neuroactive ligand-receptor interaction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04080/image
101752163	uncharacterized LOC101752163	-	-
424835	TRPM2; transient receptor potential cation channel subfamily M member 2	NOD-like receptor signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04621/image
424837	UBE2G2; ubiquitin-conjugating enzyme E2 G2	Ubiquitin mediated proteolysis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04120/image
424837	UBE2G2; ubiquitin-conjugating enzyme E2 G2	Protein processing in endoplasmic reticulum - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04141/image
424836	TSPEAR; thrombospondin-type laminin G domain and EAR repeat-containing protein isoform X2	-	-
101747595	OIP5-AS1; OIP5 antisense RNA 1	-	-
101747594	uncharacterized protein LOC101747594	-	-
101747593	ZNF764L; zinc finger protein 764 isoform X1	-	-
101752298	uncharacterized LOC101752298	-	-
101752299	uncharacterized LOC101752299	-	-
101752292	uncharacterized LOC101752292, transcript variant X1	-	-
101752291	OR14C36L13; olfactory receptor 14A16-like	-	-
415439	FGF7; fibroblast growth factor 7	MAPK signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04010/image
415439	FGF7; fibroblast growth factor 7	Regulation of actin cytoskeleton - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04810/image
418617	REPS2; ralBP1-associated Eps domain-containing protein 2	-	-
418614	RAI2; retinoic acid-induced protein 2	-	-
418612	PHKA2; phosphorylase b kinase regulatory subunit alpha, liver isoform isoform X1	Calcium signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04020/image
418612	PHKA2; phosphorylase b kinase regulatory subunit alpha, liver isoform isoform X1	Insulin signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04910/image
418613	SCML2; sex comb on midleg-like protein 2 isoform X3	-	-
418610	PDHA1; pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial precursor	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
