geneID	Description	Pathway	Pathway_map
9266241	probable glucosamine 6-phosphate N-acetyltransferase 2	Amino sugar and nucleotide sugar metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00520/image
9266246	uncharacterized protein LOC9266246 isoform X1	-	-
9266247	probable sugar phosphate/phosphate translocator At2g25520	-	-
9266245	uncharacterized protein LOC9266245	-	-
9266249	uncharacterized protein LOC9266249	-	-
4341232	arogenate dehydrogenase 2, chloroplastic	Phenylalanine, tyrosine and tryptophan biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00400/image
4341232	arogenate dehydrogenase 2, chloroplastic	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4341232	arogenate dehydrogenase 2, chloroplastic	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
4341232	arogenate dehydrogenase 2, chloroplastic	Biosynthesis of amino acids - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01230/image
4341233	protein doublesex	-	-
4341236	CBL-interacting protein kinase 25	-	-
4341235	uncharacterized protein LOC4341235 isoform X1	-	-
4341238	probable LRR receptor-like serine/threonine-protein kinase At2g24230	-	-
107278637	headcase protein homolog	-	-
4338192	uncharacterized protein LOC4338192 isoform X1	-	-
4343427	WAT1-related protein At5g64700	-	-
107278636	L-type lectin-domain containing receptor kinase IV.1-like	-	-
4343421	uncharacterized protein LOC4343421	-	-
107281449	putative nuclease HARBI1 isoform X1	-	-
4339385	uncharacterized protein LOC4339385	-	-
4334682	uncharacterized protein LOC4334682	-	-
4339387	UDP-glycosyltransferase 88F3	-	-
4339386	anthocyanidin 5,3-O-glucosyltransferase	-	-
4339380	uncharacterized protein LOC4339380	-	-
4339382	reticulon-like protein B1	-	-
4339389	UDP-glycosyltransferase 88B1 isoform X1	-	-
4339388	UDP-glycosyltransferase 88B1	-	-
4340498	protein CURVATURE THYLAKOID 1A, chloroplastic	-	-
107276573	uncharacterized protein LOC107276573	-	-
4343429	TBC1 domain family member 15	-	-
9267111	uncharacterized protein LOC9267111 isoform X1	-	-
9267113	uncharacterized protein LOC9267113	-	-
9267115	uncharacterized protein OsI_030282	-	-
9267114	rosmarinate synthase	-	-
4342761	uncharacterized aarF domain-containing protein kinase At5g05200, chloroplastic	-	-
4342760	uncharacterized protein LOC4342760 isoform X1	-	-
4342763	F-box/LRR-repeat protein 25 isoform X1	-	-
4342764	uncharacterized LOC4342764	-	-
4342767	uncharacterized protein LOC4342767	-	-
4342769	transcription elongation factor TFIIS	-	-
4342768	F-box/LRR-repeat protein 25	-	-
4344435	NAC domain-containing protein 105	-	-
4338168	probable ubiquitin-conjugating enzyme E2 26	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa04120/image
4338169	uncharacterized protein LOC4338169	-	-
4338167	uncharacterized protein LOC4338167 isoform X1	-	-
4338164	peroxidase 29	Phenylpropanoid biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00940/image
4338164	peroxidase 29	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4338164	peroxidase 29	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
4338163	probable aquaporin TIP4-1	-	-
4338160	auxin-responsive protein IAA17	Plant hormone signal transduction - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa04075/image
4338161	probable lactoylglutathione lyase, chloroplastic	Pyruvate metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00620/image
4324259	embryonic protein DC-8	-	-
4324258	mitochondrial import receptor subunit TOM40-1	-	-
4324255	protein PLASTID TRANSCRIPTIONALLY ACTIVE 7 isoform X1	-	-
4324254	late embryogenesis abundant protein, group 3	-	-
4324256	uncharacterized protein LOC4324256	-	-
4324251	F-box/kelch-repeat protein At1g23390	-	-
4324250	uncharacterized protein LOC4324250	-	-
4324252	uncharacterized LOC4324252, transcript variant X1	-	-
