geneID	Description	Pathway	Pathway_map
PHAVU_010G112900g	hypothetical protein	Starch and sucrose metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00500/image
PHAVU_010G112900g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_001G046000g	hypothetical protein	-	-
PHAVU_006G095600g	hypothetical protein	-	-
PHAVU_002G186600g	hypothetical protein	-	-
PHAVU_003G0170000	hypothetical protein	-	-
PHAVU_003G0170001	hypothetical protein	Plant hormone signal transduction - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04075/image
PHAVU_009G032400g	hypothetical protein	-	-
PHAVU_006G040900g	hypothetical protein	-	-
PHAVU_006G219000g	hypothetical protein	-	-
PHAVU_003G033500g	hypothetical protein	-	-
PHAVU_002G178900g	hypothetical protein	Glycerolipid metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00561/image
PHAVU_002G178900g	hypothetical protein	Glycerophospholipid metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00564/image
PHAVU_002G178900g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_002G178900g	hypothetical protein	Biosynthesis of secondary metabolites - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01110/image
PHAVU_004G006900g	hypothetical protein	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00563/image
PHAVU_004G006900g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_005G138700g	hypothetical protein	-	-
PHAVU_001G1503001	hypothetical protein	-	-
PHAVU_010G104900g	hypothetical protein	Pantothenate and CoA biosynthesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00770/image
PHAVU_010G104900g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_010G104900g	hypothetical protein	Biosynthesis of secondary metabolites - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01110/image
PHAVU_003G037400g	hypothetical protein	Pentose phosphate pathway - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00030/image
PHAVU_003G037400g	hypothetical protein	Carbon fixation in photosynthetic organisms - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00710/image
PHAVU_003G037400g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
