geneID	Description	Pathway	Pathway_map
100226571	BTG2; protein BTG2	RNA degradation - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu03018/image
100228779	protein transport protein Sec16A-like	-	-
100190023	DNAJC25; DnaJ heat shock protein family (Hsp40) member C25	-	-
100225277	ADAM19; ADAM metallopeptidase domain 19	-	-
100226577	XRCC5; X-ray repair cross complementing 5	Non-homologous end-joining - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu03450/image
100226574	vesicular glutamate transporter 3-like	-	-
100223386	SPHKAP; SPHK1 interactor, AKAP domain containing	-	-
100217741	PCP4; Purkinje cell protein 4	-	-
100217740	GADL1; glutamate decarboxylase like 1	beta-Alanine metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00410/image
100217740	GADL1; glutamate decarboxylase like 1	Taurine and hypotaurine metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00430/image
100217740	GADL1; glutamate decarboxylase like 1	Pantothenate and CoA biosynthesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00770/image
100217740	GADL1; glutamate decarboxylase like 1	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100217743	PBLD; phenazine biosynthesis like protein domain containing	-	-
100217742	BCAP29; B-cell receptor associated protein 29	-	-
100217745	C-type lectin domain family 2 member B-like	-	-
100217744	GGA2; golgi associated, gamma adaptin ear containing, ARF binding protein 2	Lysosome - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04142/image
100217747	ABCC10; ATP binding cassette subfamily C member 10	ABC transporters - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu02010/image
100217746	MIS18A; MIS18 kinetochore protein A	-	-
100190349	DYNLL1; dynein light chain LC8-type 1	-	-
100190348	dynein cytoplasmic light peptide-like	-	-
100228776	small integral membrane protein 4	-	-
100190341	NPM1; nucleophosmin	-	-
100190340	RNF103; vacuolar protein sorting 24 isoform 1-like	Endocytosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04144/image
100190340	RNF103; vacuolar protein sorting 24 isoform 1-like	Necroptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04217/image
100190343	IFT20; intraflagellar transport 20	-	-
100190342	VSNL1; visinin like 1	-	-
100190345	C5H14orf166; chromosome 5 open reading frame, human C14orf166	-	-
100190344	NADH dehydrogenase 1 alpha/beta subcomplex-like	Oxidative phosphorylation - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00190/image
