geneID	Description	Pathway	Pathway_map
103644856	cysteine-rich receptor-like protein kinase 10 isoform X1	-	-
103644857	triosephosphate isomerase, cytosolic	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
103644857	triosephosphate isomerase, cytosolic	Fructose and mannose metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma00051/image
103644857	triosephosphate isomerase, cytosolic	Inositol phosphate metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma00562/image
103644857	triosephosphate isomerase, cytosolic	Carbon fixation in photosynthetic organisms - Zea mays (maize)	http://rest.kegg.jp/get/zma00710/image
103644857	triosephosphate isomerase, cytosolic	Metabolic pathways - Zea mays (maize)	http://rest.kegg.jp/get/zma01100/image
103644857	triosephosphate isomerase, cytosolic	Biosynthesis of secondary metabolites - Zea mays (maize)	http://rest.kegg.jp/get/zma01110/image
103644857	triosephosphate isomerase, cytosolic	Carbon metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma01200/image
103644857	triosephosphate isomerase, cytosolic	Biosynthesis of amino acids - Zea mays (maize)	http://rest.kegg.jp/get/zma01230/image
103644850	skin secretory protein xP2-like	-	-
103644851	caM kinase-like vesicle-associated protein	-	-
111591089	small nucleolar RNA snoR122	-	-
111591088	Eukaryotic 18S ribosomal RNA	-	-
111591087	Plant small nucleolar RNA U3	-	-
111591086	Plant small nucleolar RNA U3	-	-
103628405	serine/arginine repetitive matrix protein 1-like	-	-
111591084	5S ribosomal RNA	-	-
111591083	Plant small nucleolar RNA U3	-	-
109943629	uncharacterized LOC109943629	-	-
111591081	Plant small nucleolar RNA U3	-	-
103628400	proline-rich protein 2-like	-	-
103630344	autophagy-related protein 18h	-	-
103630347	uncharacterized protein LOC103630347 isoform X1	-	-
103630342	basic 7S globulin	-	-
103630349	pentatricopeptide repeat-containing protein At2g30780	-	-
103630348	uncharacterized protein LOC103630348	Plant hormone signal transduction - Zea mays (maize)	http://rest.kegg.jp/get/zma04075/image
103632279	uncharacterized protein LOC103632279	-	-
103632278	COP1-interacting protein 7	-	-
103632272	heptahelical transmembrane protein 4	-	-
103632274	inositol transporter 4	-	-
100384438	uncharacterized protein LOC100384438 precursor	-	-
100384439	Cel24A; uncharacterized protein LOC100384439 precursor	-	-
100384430	uncharacterized protein LOC100384430	-	-
100384432	uncharacterized protein LOC100384432	-	-
100384433	uncharacterized LOC100384433	-	-
100384434	uncharacterized protein LOC100384434	-	-
100384436	uncharacterized LOC100384436	-	-
100384437	pseudogene	-	-
100277718	uncharacterized protein LOC100277718	-	-
100277719	uncharacterized protein LOC100277719	-	-
103626964	F-box/kelch-repeat protein At3g61590-like	-	-
103626961	LOW QUALITY PROTEIN: expansin-A23	-	-
100277712	uncharacterized protein LOC100277712	-	-
100277713	uncharacterized protein LOC100277713 precursor	-	-
100277715	CNR02; cell number regulator 2	-	-
100273879	cl37268_1; uncharacterized protein LOC100273879	-	-
103650109	heavy metal-associated isoprenylated plant protein 5 isoform X1	-	-
103650108	uncharacterized LOC103650108	-	-
103650105	uncharacterized LOC103650105	-	-
100273870	pseudogene	-	-
100273873	pco099302; uncharacterized protein LOC100273873 isoform X1	-	-
100273872	uncharacterized protein LOC100273872	-	-
100273875	putative AP2/EREBP transcription factor superfamily protein	-	-
100273874	uncharacterized protein LOC100273874 isoform X1	Lysine degradation - Zea mays (maize)	http://rest.kegg.jp/get/zma00310/image
100273877	uncharacterized protein LOC100273877	-	-
100273876	uncharacterized LOC100273876	Metabolic pathways - Zea mays (maize)	http://rest.kegg.jp/get/zma01100/image
100273876	uncharacterized LOC100273876	Peroxisome - Zea mays (maize)	http://rest.kegg.jp/get/zma04146/image
100382878	FGGY carbohydrate kinase domain-containing protein isoform X1	-	-
100382879	gpm902; uncharacterized protein LOC100382879	-	-
100382877	uncharacterized protein LOC100382877	mRNA surveillance pathway - Zea mays (maize)	http://rest.kegg.jp/get/zma03015/image
100382875	uncharacterized protein LOC100382875	-	-
100382872	uncharacterized protein LOC100382872	-	-
100382870	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-B	Oxidative phosphorylation - Zea mays (maize)	http://rest.kegg.jp/get/zma00190/image
100382870	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-B	Metabolic pathways - Zea mays (maize)	http://rest.kegg.jp/get/zma01100/image
100382871	uncharacterized protein LOC100382871	-	-
100274069	uncharacterized protein LOC100274069	-	-
100274068	uncharacterized LOC100274068	-	-
100274063	uncharacterized protein LOC100274063	-	-
100274062	cl40079_1(357); uncharacterized protein LOC100274062	-	-
100274061	putative protein kinase superfamily protein	-	-
100274060	umc1507; uncharacterized protein LOC100274060	-	-
100274067	magi29945; uncharacterized protein LOC100274067 isoform X1	-	-
100274066	uncharacterized protein LOC100274066	-	-
100274065	uncharacterized protein LOC100274065	-	-
100274064	uncharacterized protein LOC100274064	Proteasome - Zea mays (maize)	http://rest.kegg.jp/get/zma03050/image
103641738	uncharacterized LOC103641738	-	-
103641732	wall-associated receptor kinase 3 isoform X1	-	-
103641733	ATP-dependent RNA helicase SUV3L, mitochondrial	-	-
103641734	casparian strip membrane protein 2	-	-
103641736	uncharacterized LOC103641736, transcript variant X1	-	-
103641737	pentatricopeptide repeat-containing protein At4g39952, mitochondrial	-	-
103645020	probable LRR receptor-like serine/threonine-protein kinase At3g47570	-	-
103645021	uncharacterized LOC103645021	-	-
103645024	B3 domain-containing protein LOC_Os12g40090	-	-
103645025	probable protein phosphatase 2C 34	-	-
109939565	cysteine-rich receptor-like protein kinase 18	-	-
103634353	uncharacterized protein LOC103634353	-	-
103629439	exocyst complex component SEC5A	-	-
103629438	uncharacterized protein LOC103629438 isoform X1	-	-
103629431	protein FAR1-RELATED SEQUENCE 5-like	-	-
103629430	uncharacterized LOC103629430	-	-
103629433	NAC domain-containing protein 43	-	-
109939564	uncharacterized LOC109939564, transcript variant X1	-	-
111591085	Plant small nucleolar RNA U3	-	-
103629437	GPI transamidase component PIG-T isoform X1	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00563/image
103629437	GPI transamidase component PIG-T isoform X1	Metabolic pathways - Zea mays (maize)	http://rest.kegg.jp/get/zma01100/image
103629436	glucan endo-1,3-beta-glucosidase 14	-	-
109945371	uncharacterized LOC109945371	-	-
103627767	E3 ubiquitin-protein ligase ATL31	-	-
103627765	blue copper protein	-	-
103627764	LMBR1 domain-containing protein 2 homolog A isoform X1	-	-
103627763	uncharacterized protein LOC103627763 isoform X1	-	-
103627762	protein EXORDIUM	-	-
103627761	lysine-specific histone demethylase 1 homolog 1	-	-
100303986	SC3 protein	-	-
109939566	uncharacterized LOC109939566	-	-
