geneID	Description	Pathway
AT1G01090	PDH-E1_ALPHA; pyruvate dehydrogenase E1 alpha	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G09780	iPGAM1; Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G09870	histidine acid phosphatase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G12000	Phosphofructokinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G13440	GAPC2; glyceraldehyde-3-phosphate dehydrogenase C2	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G16300	GAPCP-2; glyceraldehyde-3-phosphate dehydrogenase of plastid 2	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G20950	Phosphofructokinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G22170	Phosphoglycerate mutase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G22430	GroES-like zinc-binding dehydrogenase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G22440	Zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G23190	PGM3; Phosphoglucomutase/phosphomannomutase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G23800	ALDH2B7; aldehyde dehydrogenase 2B7	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G24180	IAR4; Thiamin diphosphate-binding fold (THDP-binding) superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G30120	PDH-E1_BETA; pyruvate dehydrogenase E1 beta	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G32440	PKp3; plastidial pyruvate kinase 3	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G32780	GroES-like zinc-binding dehydrogenase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G34430	EMB3003; 2-oxoacid dehydrogenases acyltransferase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G43670	FBP; Inositol monophosphatase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G44170	ALDH3H1; aldehyde dehydrogenase 3H1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G47840	HXK3; hexokinase 3	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G48030	mtLPD1; mitochondrial lipoamide dehydrogenase 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G50460	HKL1; hexokinase-like 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G54100	ALDH7B4; aldehyde dehydrogenase 7B4	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G54220	Dihydrolipoamide acetyltransferase, long form protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G56190	Phosphoglycerate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G59900	E1_ALPHA; pyruvate dehydrogenase complex E1 alpha subunit	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G64710	GroES-like zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G70730	PGM2; Phosphoglucomutase/phosphomannomutase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G74030	ENO1; enolase 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G76550	Phosphofructokinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G77120	ADH1; alcohol dehydrogenase 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G78050	PGM; phosphoglycerate/bisphosphoglycerate mutase	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G79530	GAPCP-1; glyceraldehyde-3-phosphate dehydrogenase of plastid 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT1G79550	PGK; phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G01140	PDE345; Aldolase superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G19860	HXK2; hexokinase 2	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G21170	TIM; triosephosphate isomerase	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G21330	FBA1; fructose-bisphosphate aldolase 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G22480	PFK5; phosphofructokinase 5	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G24270	ALDH11A3; aldehyde dehydrogenase 11A3	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G29560	ENOC; cytosolic enolase	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G34590	Transketolase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G36460	FBA6; Aldolase superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G36530	LOS2; Enolase	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT2G36580	Pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G01260	Galactose mutarotase-like superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G01590	Galactose mutarotase-like superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G04050	Pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G04120	GAPC1; glyceraldehyde-3-phosphate dehydrogenase C subunit 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G08590	iPGAM2; Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G12780	PGK1; phosphoglycerate kinase 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G13930	Dihydrolipoamide acetyltransferase, long form protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G16910	AAE7; acyl-activating enzyme 7	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G16950	LPD1; lipoamide dehydrogenase 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G17240	mtLPD2; lipoamide dehydrogenase 2	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G17940	Galactose mutarotase-like superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G20040	ATHXK4; Hexokinase	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G22960	PKP-ALPHA; Pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G25860	LTA2; 2-oxoacid dehydrogenases acyltransferase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G25960	Pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G47800	Galactose mutarotase-like superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G48000	ALDH2B4; aldehyde dehydrogenase 2B4	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G49160	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G50520	Phosphoglycerate mutase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G52200	LTA3; Dihydrolipoamide acetyltransferase, long form protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G52930	FBA8; Aldolase superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G52990	Pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G54050	HCEF1; high cyclic electron flow 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G55440	TPI; triosephosphate isomerase	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G55650	Pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G55810	Pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT3G61610	Galactose mutarotase-like superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G04040	MEE51; Phosphofructokinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G16155	dihydrolipoamide dehydrogenase	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G17260	Lactate/malate dehydrogenase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G22110	GroES-like zinc-binding dehydrogenase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G23730	Galactose mutarotase-like superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G24620	PGI1; phosphoglucose isomerase 1	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G25900	Galactose mutarotase-like superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G26270	PFK3; phosphofructokinase 3	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G26390	Pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G26520	FBA7; Aldolase superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
AT4G26530	FBA5; Aldolase superfamily protein	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)	http://rest.kegg.jp/get/ath00010/image
