geneID	Description	Pathway
100821082	pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100821142	alcohol dehydrogenase-like 7	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100821500	glucose-6-phosphate isomerase, cytosolic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100821589	fructose-1,6-bisphosphatase, cytosolic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100821809	ATP-dependent 6-phosphofructokinase 6	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100821811	pyruvate decarboxylase 1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100821904	NADPH-dependent aldo-keto reductase, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100821914	pyruvate kinase, cytosolic isozyme isoform X1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100822521	NADPH-dependent aldo-keto reductase, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100822825	alcohol dehydrogenase-like 2 isoform X1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100822858	phosphoglycerate kinase, cytosolic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100822970	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100823060	hexokinase-5	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100823154	dihydrolipoyl dehydrogenase 1, mitochondrial	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100823294	dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial isoform X4	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100823497	pyruvate dehydrogenase E1 component subunit beta-1, mitochondrial	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100823647	pyruvate kinase, cytosolic isozyme	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100824147	aldehyde dehydrogenase family 3 member F1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100824234	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100824391	hexokinase-6	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100824548	pyruvate kinase 1, cytosolic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100825328	dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100825584	fructose-bisphosphate aldolase 1, cytoplasmic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100826134	alcohol dehydrogenase-like 6 isoform X1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100826327	hexokinase-3	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100826755	dihydrolipoyl dehydrogenase 1, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100826763	glyceraldehyde-3-phosphate dehydrogenase GAPCP1, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100827025	acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100827073	uncharacterized protein LOC100827073	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
