geneID	Description	Pathway
Dmel_CG10160	ImpL3; Ecdysone-inducible gene L3, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG10202	CG10202; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG10467	CG10467; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG10924	CG10924; uncharacterized protein, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG10996	CG10996; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG11140	Aldh-III; aldehyde dehydrogenase type III, isoform R	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG11249	CG11249; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG11876	CG11876; uncharacterized protein, isoform D	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG12055	Gapdh1; glyceraldehyde 3 phosphate dehydrogenase 1, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG12229	CG12229; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG13334	CG13334; uncharacterized protein, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG15400	G6P; Glucose-6-Phosphatase	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG1721	Pglym78; phosphoglyceromutase, isoform C	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG17645	Pglym87	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG17654	Eno; enolase, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG17725	Pepck; phosphoenolpyruvate carboxykinase	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG2171	Tpi; triose phosphate isomerase, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG2767	CG2767; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG2964	CG2964; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG3001	Hex-A; hexokinase A, isoform C	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG31075	CG31075; uncharacterized protein, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG3127	Pgk; phosphoglycerate kinase, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG31692	fbp; fructose-1,6-bisphosphatase, isoform C	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG32444	CG32444; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG32445	CG32445; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG32849	Hex-t2; Hex-t2	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG33102	Hex-t1; Hex-t1	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG3481	Adh; alcohol dehydrogenase, isoform C	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG3752	Aldh; aldehyde dehydrogenase, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG4001	Pfk; phosphofructokinase, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG4123	Mipp1; multiple inositol polyphosphate phosphatase 1, isoform C	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG4317	Mipp2; multiple inositol polyphosphate phosphatase 2	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG4988	CG4988; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG5165	Pgm; phosphoglucose mutase	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
