geneID	Description	Pathway
100857280	ADH1L; alcohol dehydrogenase 1-like	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
100857298	G6PC; glucose-6-phosphatase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
100859356	G6PC3; glucose-6-phosphatase 3	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
373889	HK1; hexokinase-1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
373997	LDHB; L-lactate dehydrogenase B chain	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
374044	HK2; hexokinase-2	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
374064	PFKM; ATP-dependent 6-phosphofructokinase, muscle type	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
374193	GAPDH; glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
395217	FBP2; fructose-1,6-bisphosphatase isozyme 2	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
395218	FBP1; fructose-1,6-bisphosphatase 1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
395356	MINPP1; multiple inositol polyphosphate phosphatase 1 precursor	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
395389	ALDH1A3; aldehyde dehydrogenase family 1 member A3	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
395492	ALDOC; fructose-bisphosphate aldolase C	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
395689	ENO2; gamma-enolase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
395833	PGK1; phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
395979	ADH6; alcohol dehydrogenase 6	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
396017	ENO1; alpha-enolase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
396221	LDHA; L-lactate dehydrogenase A chain	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
396435	TPI1; triosephosphate isomerase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
396456	PKM; pyruvate kinase PKM	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
396457	PCK2; phosphoenolpyruvate carboxykinase [GTP], mitochondrial precursor	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
396458	PCK1; phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
415317	ADPGK; ADP-dependent glucokinase precursor	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
415783	GPI; glucose-6-phosphate isomerase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
416066	PDHB; pyruvate dehydrogenase E1 component subunit beta, mitochondrial	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
416714	ACSS1; acetyl-coenzyme A synthetase 2-like, mitochondrial isoform X1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
417615	ALDH3A2; fatty aldehyde dehydrogenase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
417699	DLD; dihydrolipoyl dehydrogenase, mitochondrial	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
418172	BPGM; bisphosphoglycerate mutase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
418610	PDHA1; pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial precursor	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
419158	ACSS2; acetyl-coenzyme A synthetase, cytoplasmic isoform X3	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
419796	DLAT; dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
422705	ADH5; alcohol dehydrogenase class-3	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
423347	ACSS1L; acetyl-coenzyme A synthetase 2-like, mitochondrial isoform X1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
423698	HKDC1; putative hexokinase HKDC1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
423918	ENO4; enolase 4 isoform X3	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
424171	G6PC2; glucose-6-phosphatase 2 isoform X1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
424405	ALDH9A1; 4-trimethylaminobutyraldehyde dehydrogenase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
424599	AKR1A1; alcohol dehydrogenase [NADP(+)]	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
424691	PGM1; phosphoglucomutase-1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
426268	GALM; aldose 1-epimerase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
426435	PGM2; phosphoglucomutase-2	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
426812	ALDH7A1; alpha-aminoadipic semialdehyde dehydrogenase	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
427308	ALDOB; fructose-bisphosphate aldolase B	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
428411	PFKP; ATP-dependent 6-phosphofructokinase, platelet type	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
428812	ALDH3B1L1; aldehyde dehydrogenase family 3 member B1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
428813	ALDH3B1L2; aldehyde dehydrogenase family 3 member B1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
428969	PGAM1; phosphoglycerate mutase 1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
430370	GCK; glucokinase isoform X1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
768421	HK3; hexokinase-3 isoform X1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
769850	PFKL; ATP-dependent 6-phosphofructokinase, liver type	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
771920	ADH1C; alcohol dehydrogenase 1	Glycolysis / Gluconeogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00010/image
100858903	CS; citrate synthase, mitochondrial isoform X1	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
100859641	SDHC; succinate dehydrogenase cytochrome b560 subunit, mitochondrial isoform X1	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
100859720	SDHB; succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial isoform 1 precursor	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
373916	ACO1; cytoplasmic aconitate hydratase	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
374009	ACO2; aconitate hydratase, mitochondrial	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
374263	PC; pyruvate carboxylase, mitochondrial	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
395373	ACLY; ATP-citrate synthase	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
395758	SDHA; succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
396457	PCK2; phosphoenolpyruvate carboxykinase [GTP], mitochondrial precursor	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
396458	PCK1; phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
415362	IDH3A; isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
416066	PDHB; pyruvate dehydrogenase E1 component subunit beta, mitochondrial	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
416087	SUCLG2; succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
417517	MDH2; malate dehydrogenase, mitochondrial	Citrate cycle (TCA cycle) - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00020/image
