geneID	Description	Pathway
100037452	pyruvate kinase	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100037457	GAPC1; glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100499743	alcohol dehydrogenase class-3	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100500200	alcohol dehydrogenase-like 2	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100500201	alcohol dehydrogenase-like	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100527532	fructose-bisphosphate aldolase 6, cytosolic	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100775490	uncharacterized protein LOC100775490	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100775844	putative fructose-bisphosphate aldolase 2	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100776238	uncharacterized protein LOC100776238	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100776304	dihydrolipoyl dehydrogenase 2, chloroplastic	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100776332	pyruvate decarboxylase 2	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100776597	ATP-dependent 6-phosphofructokinase 3 isoform X1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100776984	pyruvate kinase isozyme G, chloroplastic isoform X2	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100776994	hexokinase-3	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100777147	phosphoenolpyruvate carboxykinase (ATP)	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100777306	pyruvate dehydrogenase E1 component subunit beta, mitochondrial isoform X1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100777399	aldehyde dehydrogenase family 2 member B7, mitochondrial	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100777507	phosphoenolpyruvate carboxykinase (ATP) isoform X2	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100777582	uncharacterized protein LOC100777582 isoform X2	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100777690	pyruvate decarboxylase 1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100777882	acetate/butyrate--CoA ligase AAE7, peroxisomal	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100778218	dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial isoform X1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100778279	pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100778321	phosphoglucomutase, chloroplastic	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100778356	uncharacterized protein LOC100778356	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100778363	uncharacterized protein LOC100778363	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100778722	aldehyde dehydrogenase family 3 member H1 isoform X1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100779602	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
