geneID	Description	Pathway
MTR_0001s0660	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1242s0010	phosphoglycerate kinase-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g014320	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g025140	hexokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g029840	NAD-dependent aldehyde dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g035230	pyrophosphate-fructose-6-phosphate 1-phosphotransferase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g061050	fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g061630	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g069430	Zn-dependent alcohol dehydrogenase family, class III protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g076540	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g090300	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g091037	long form dihydrolipoamide acetyltransferase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g091040	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g096240	2-oxoacid dehydrogenase acyltransferase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g099360	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g102010	phosphogluco-mutase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g102035	phosphoglucomutase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g105965	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g109200	fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_1g111140	2-oxoacid dehydrogenase acyltransferase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g008030	fructose-1,6-bisphosphatase, cytosolic-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g009330	pyruvate decarboxylase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g015560	pyruvate decarboxylase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g025020	pyrophosphate-fructose-6-phosphate 1-phosphotransferase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g034580	dihydrolipoamide dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g036810	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g042330	NAD-dependent aldehyde dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g044180	acetate/butyrate-CoA ligase AAE7, peroxisomal protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g056190	carboxy-terminal TIM barrel domain enolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g065470	glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g066110	phosphoglycerate kinase-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g066120	phosphoglycerate kinase-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g066130	phosphoglycerate kinase-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g078600	glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g096940	cytosolic triosephosphate isomerase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g097950	NAD-dependent aldehyde dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_2g100710	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g071580	multiple inositol polyphosphate phosphatase PhyIIa protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g074040	phosphoglycerate/bisphosphoglycerate mutase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g076630	pyruvate dehydrogenase E1 beta subunit	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g078170	NAD-dependent aldehyde dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g079170	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g079180	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g085850	glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g088150	NAD-dependent aldehyde dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g089940	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g089970	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g089977	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g099460	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g110395	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_3g111120	phosphoenolpyruvate carboxykinase [ATP] protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g005740	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g017200	pyruvate decarboxylase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g021350	aldo/keto reductase family oxidoreductase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g021410	aldo/keto reductase family oxidoreductase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g021450	aldo/keto reductase family oxidoreductase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g057670	fructose-bisphosphate aldolase class I	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g065040	NAD-dependent aldehyde dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g071860	fructose-bisphosphate aldolase class I	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g071880	fructose-bisphosphate aldolase class I	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g083330	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g083340	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g092780	glucose-6-phosphate 1-epimerase-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g093620	fructose-1,6-bisphosphatase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g097900	hexokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g101130	L-lactate dehydrogenase A-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g103920	glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g107040	NAD-dependent aldehyde dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g108260	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g121600	acetate/butyrate-CoA ligase AAE7, peroxisomal protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g121880	dihydrolipoamide dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g123070	dihydrolipoyl dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g131180	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g132700	pyrophosphate-fructose-6-phosphate 1-phosphotransferase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g134290	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g009000	hexokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g009670	glucose-6-phosphate 1-epimerase-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g012390	L-lactate dehydrogenase A-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g014140	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g020640	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g030620	phosphoenolpyruvate carboxykinase [ATP] protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g032570	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g036600	pyruvate dehydrogenase complex E1 alpha subunit	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g045710	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g046610	pyruvate decarboxylase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g046620	pyruvate decarboxylase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g065880	glucose-6-phosphate isomerase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g069050	fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g069055	fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g087710	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g096670	fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g096970	carboxy-terminal TIM barrel domain enolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g430730	phosphoenolpyruvate carboxykinase [ATP] protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g004020	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
