geneID	Description	Pathway
107758965	pyruvate decarboxylase 2-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107759369	fructose-bisphosphate aldolase 1, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107760137	pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107760211	fructose-1,6-bisphosphatase class 1-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107760272	ATP-dependent 6-phosphofructokinase 6-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107760338	pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107760370	pyruvate kinase, cytosolic isozyme-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107760622	triosephosphate isomerase, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107760936	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107761213	phosphoglycerate mutase-like protein 4	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107761446	phosphoenolpyruvate carboxykinase [ATP]-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107761670	pyruvate kinase isozyme A, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107761864	NtPPGM; phosphoglucomutase, chloroplastic	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107761890	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107762015	alcohol dehydrogenase 1-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107763133	enolase	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107763479	pyruvate dehydrogenase E1 component subunit beta-3, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107763644	acetate/butyrate--CoA ligase AAE7, peroxisomal-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107763739	phosphoglycerate mutase-like protein 4	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107763835	acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107764111	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107764230	aldehyde dehydrogenase family 3 member F1-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107764308	pyruvate kinase, cytosolic isozyme-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107764593	L-lactate dehydrogenase-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107764603	ATP-dependent 6-phosphofructokinase 6-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107764636	glyceraldehyde-3-phosphate dehydrogenase, cytosolic	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107764742	dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107764979	triosephosphate isomerase, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107765053	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107765291	phosphoglucomutase, cytoplasmic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107765740	alcohol dehydrogenase-like 6	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107765980	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107766493	Hxk3; hexokinase-2-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107766552	pyruvate decarboxylase 1-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107766867	aldehyde dehydrogenase family 2 member B4, mitochondrial-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107767146	aldo-keto reductase family 4 member C10-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107767559	fructose-bisphosphate aldolase 1, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107767727	fructose-bisphosphate aldolase cytoplasmic isozyme-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107768212	dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107769473	PGAM-I, TOBPGM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107769721	triosephosphate isomerase, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107770390	pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107770541	Hxk4b; hexokinase-2-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107770947	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107771489	fructose-bisphosphate aldolase 1, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107772318	dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107772548	pyruvate decarboxylase 1-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107772666	dihydrolipoyl dehydrogenase 2, chloroplastic-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107772756	alcohol dehydrogenase 1	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107772935	pyruvate decarboxylase 1-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107773422	pyruvate kinase 1, cytosolic	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107773450	multiple inositol polyphosphate phosphatase 1-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107773513	acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107775098	ATP-dependent 6-phosphofructokinase 3-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107775390	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107776000	phosphoenolpyruvate carboxykinase [ATP]-like	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
107776287	glyceraldehyde-3-phosphate dehydrogenase, cytosolic	Glycolysis / Gluconeogenesis - Nicotiana tabacum (common tobacco)	http://rest.kegg.jp/get/nta00010/image
