geneID	Description	Pathway
PHAVU_001G007000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G045700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G064000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G067300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G072600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G097800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G167100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G181000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G185200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G186100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_001G259000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G0056001	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G031900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G034000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G062000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G072100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G077600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G101300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G139200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G148700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G162300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G213400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G261600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G275200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G295500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G306800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G308400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_002G318400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G009600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G035200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G052500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G056300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G082000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G088700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G111400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G112300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G118800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G143300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G157200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G191500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G199100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G219400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G231300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G246100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G246200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G258500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G285900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_003G289600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G000800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G005300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G018000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G023500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G027000g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G057600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G057700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G065300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G078400g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G095800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G101700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G127500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G128900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G136700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G150200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G173900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G175500g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G050700g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G050800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G059200g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G144100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G147600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_005G165100g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G0103001	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G048800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G109800g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G122900g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G145300g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G165600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_006G177600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
