geneID	Description	Pathway
100134828	FBP2; fructose-1,6-bisphosphatase isozyme 2	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100134959	G6PC; glucose-6-phosphatase	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100144531	PCK1; phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100152243	MINPP1; multiple inositol polyphosphate phosphatase 1 isoform X1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100152344	HK1; hexokinase-1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100153520	HKDC1; putative hexokinase HKDC1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100153697	L-lactate dehydrogenase A-like 6B	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100153809	ALDH9A1; 4-trimethylaminobutyraldehyde dehydrogenase isoform X1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100153866	ACSS2; acetyl-coenzyme A synthetase, cytoplasmic	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100154776	PGAM1; phosphoglycerate mutase 1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100154828	ACSS1; acetyl-coenzyme A synthetase 2-like, mitochondrial isoform X2	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100156278	ALDH1B1; aldehyde dehydrogenase X, mitochondrial	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100157582	TPI1; triosephosphate isomerase	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100157750	ENO2; gamma-enolase isoform X1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100158154	PKM; pyruvate kinase PKM isoform X8	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100158218	ENO4; enolase 4 isoform X1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100188980	PGAM2; phosphoglycerate mutase 2	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100294678	PDHA1; pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100502559	LDHC; L-lactate dehydrogenase C chain	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100512013	ALDOC; fructose-bisphosphate aldolase C	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100512070	G6PC3; glucose-6-phosphatase 3 isoform X1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100512615	ADH1C; alcohol dehydrogenase 1C (class I), gamma polypeptide	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100512795	alcohol dehydrogenase class 4 mu/sigma chain	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100513366	ADH4; alcohol dehydrogenase 4	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100513555	ADH5; alcohol dehydrogenase class-3	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100514142	GCK; glucokinase isoform X1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100515523	ALDOB; fructose-bisphosphate aldolase B	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100516042	PDHB; pyruvate dehydrogenase E1 component subunit beta, mitochondrial	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
