geneID	Description	Pathway
100190137	alcohol dehydrogenase 5 (class III)-like	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100190454	LDHB; lactate dehydrogenase B	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100190636	GAPDH; glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100190753	triosephosphate isomerase-like	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100217978	ALDH2; aldehyde dehydrogenase 2 family (mitochondrial)	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100218703	alcohol dehydrogenase 1-like	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100218728	PKM; pyruvate kinase, muscle	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100219012	FBP2; fructose-bisphosphatase 2	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100219694	alcohol dehydrogenase 1-like	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100219762	G6PC2; glucose-6-phosphatase catalytic subunit 2	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100220342	AKR1A1; aldo-keto reductase family 1 member A1	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100220365	HK3; hexokinase 3	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100220560	PFKL; phosphofructokinase, liver type	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100220744	PFKM; phosphofructokinase, muscle	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100220810	aldehyde dehydrogenase, mitochondrial-like	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100221470	DLAT; dihydrolipoamide S-acetyltransferase	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100221811	PGM2; phosphoglucomutase 2	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
