geneID	Description	Pathway
100037774	TIDP3317; uncharacterized protein LOC100037774	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100170246	hex2; hexokinase 2	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100191144	uncharacterized protein LOC100191144 precursor	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100191222	uncharacterized protein LOC100191222	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100191365	pco109318; uncharacterized LOC100191365	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100191614	pyruvate kinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100191671	AY109534; uncharacterized protein LOC100191671	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100191849	putative AMP-dependent synthetase and ligase superfamily protein	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100191851	uncharacterized protein LOC100191851	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100191900	glyceraldehyde-3-phosphate dehydrogenase, cytosolic	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100191982	uncharacterized protein LOC100191982	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100192038	apospory-associated protein	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100192075	si946063f09; hexokinase1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100192478	pco064611a; uncharacterized LOC100192478	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100192900	pco128534b; uncharacterized protein LOC100192900	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100193000	gpm397a; uncharacterized protein LOC100193000	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100193244	IDP1624; uncharacterized protein LOC100193244	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100193279	uncharacterized protein LOC100193279	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100193340	pco110217; uncharacterized protein LOC100193340	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100193894	putative alcohol dehydrogenase superfamily protein	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100194114	uncharacterized protein LOC100194114	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100194348	putative oxidoreductase, aldo/keto reductase family protein	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100194404	pco110419; uncharacterized protein LOC100194404	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100216767	uncharacterized protein LOC100216767	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100217298	aldose 1-epimerase precursor	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272256	AY112355; uncharacterized protein LOC100272256	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272357	putative alcohol dehydrogenase superfamily protein	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272481	TIM; triosephosphate isomerase, cytosolic	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272519	uncharacterized protein LOC100272519	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272578	cl33662_1; uncharacterized protein LOC100272578	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272618	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272834	uncharacterized protein LOC100272834	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272845	AY110170; uncharacterized protein LOC100272845	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272913	fructose-bisphosphate aldolase cytoplasmic isozyme	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272951	TIDP3692; uncharacterized protein LOC100272951 isoform 1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100272999	uncharacterized protein LOC100272999	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100273196	IDP1438; uncharacterized protein LOC100273196	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100273217	pco147721a; uncharacterized protein LOC100273217	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100273700	pco073762; uncharacterized protein LOC100273700	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100273735	csu996; uncharacterized protein LOC100273735 isoform X1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100273990	pco129562; uncharacterized protein LOC100273990	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100274470	uncharacterized protein LOC100274470	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100274483	dihydrolipoyllysine-residue acetyltransferase component of pyruvatedehydrogenase complex	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100274515	uncharacterized LOC100274515 isoform X1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100274579	umc1110; Phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279194	pco084078; uncharacterized protein LOC100279194	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279231	uncharacterized protein LOC100279231	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279373	cl10585_1b; uncharacterized protein LOC100279373	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279403	cl25115_1; uncharacterized protein LOC100279403	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279587	uncharacterized protein LOC100279587	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279748	pck2; phosphoenolpyruvate carboxykinase homolog 2	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280296	uncharacterized protein LOC100280296	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280449	gpm893; uncharacterized protein LOC100280449	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280692	pco083188b; uncharacterized protein LOC100280692	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280694	pyrophosphate--fructose 6-phosphate 1-phosphotransferase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280823	triosephosphate isomerase, cytosolic	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281068	fructose-1,6-bisphosphatase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281089	IDP708; uncharacterized protein LOC100281089	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281237	phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
