"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p_adjust" "qvalue" "geneID" "Count"
"GO:0071456" "BP" "GO:0071456" "cellular response to hypoxia" 0.211382113821138 "242/25784" 2.0174605348436e-55 7.4123960693852e-53 5.43470475424957e-53 "AT3G13310/AT5G54490/AT2G23270/AT5G27420/AT5G26920/AT5G62520/AT5G59820/AT5G57560/AT5G57220/AT5G47910/AT5G35735/AT5G19240/AT3G55980/AT4G29780/AT4G24570/AT4G20860/AT4G12720/AT4G01250/AT1G66090/AT3G08720/AT1G76650/AT1G76600/AT1G68840/AT1G72900/AT1G72940/AT1G09070/AT1G61340/AT1G23710/AT2G25735/AT2G41100/AT2G40000/AT2G26190/AT1G73500/AT5G63130/AT5G42380/AT5G06320/AT3G56400/AT4G34150/AT4G27280/AT1G25560/AT3G02550/AT1G27730/AT1G72920/AT2G41010/AT5G04340/AT5G05410/AT4G11660/AT1G66180/AT3G15210/AT1G13260/AT2G40140/AT1G03220" 52
"GO:0036294" "BP" "GO:0036294" "cellular response to decreased oxygen levels" 0.211382113821138 "244/25784" 3.21346650406873e-55 7.4123960693852e-53 5.43470475424957e-53 "AT3G13310/AT5G54490/AT2G23270/AT5G27420/AT5G26920/AT5G62520/AT5G59820/AT5G57560/AT5G57220/AT5G47910/AT5G35735/AT5G19240/AT3G55980/AT4G29780/AT4G24570/AT4G20860/AT4G12720/AT4G01250/AT1G66090/AT3G08720/AT1G76650/AT1G76600/AT1G68840/AT1G72900/AT1G72940/AT1G09070/AT1G61340/AT1G23710/AT2G25735/AT2G41100/AT2G40000/AT2G26190/AT1G73500/AT5G63130/AT5G42380/AT5G06320/AT3G56400/AT4G34150/AT4G27280/AT1G25560/AT3G02550/AT1G27730/AT1G72920/AT2G41010/AT5G04340/AT5G05410/AT4G11660/AT1G66180/AT3G15210/AT1G13260/AT2G40140/AT1G03220" 52
"GO:0071453" "BP" "GO:0071453" "cellular response to oxygen levels" 0.211382113821138 "244/25784" 3.21346650406873e-55 7.4123960693852e-53 5.43470475424957e-53 "AT3G13310/AT5G54490/AT2G23270/AT5G27420/AT5G26920/AT5G62520/AT5G59820/AT5G57560/AT5G57220/AT5G47910/AT5G35735/AT5G19240/AT3G55980/AT4G29780/AT4G24570/AT4G20860/AT4G12720/AT4G01250/AT1G66090/AT3G08720/AT1G76650/AT1G76600/AT1G68840/AT1G72900/AT1G72940/AT1G09070/AT1G61340/AT1G23710/AT2G25735/AT2G41100/AT2G40000/AT2G26190/AT1G73500/AT5G63130/AT5G42380/AT5G06320/AT3G56400/AT4G34150/AT4G27280/AT1G25560/AT3G02550/AT1G27730/AT1G72920/AT2G41010/AT5G04340/AT5G05410/AT4G11660/AT1G66180/AT3G15210/AT1G13260/AT2G40140/AT1G03220" 52
"GO:0010200" "BP" "GO:0010200" "response to chitin" 0.211382113821138 "304/25784" 6.48685510239683e-50 1.12222593271465e-47 8.22806357725071e-48 "AT1G50590/AT2G37430/AT2G41640/AT1G56660/AT1G73540/AT4G36500/AT5G59820/AT5G52750/AT5G44350/AT5G35735/AT5G19240/AT4G29780/AT4G27652/AT4G02200/AT3G25600/AT1G27770/AT1G72940/AT1G70090/AT1G23710/AT2G32140/AT2G25735/AT2G39650/AT4G14365/AT5G16200/AT5G25930/AT5G64310/AT5G63130/AT5G41740/AT3G61640/AT3G55950/AT3G45640/AT4G23610/AT4G09030/AT1G25400/AT3G16860/AT3G02800/AT1G19380/AT1G27730/AT1G03730/AT1G55450/AT2G32030/AT5G52760/AT3G54000/AT4G38940/AT4G22980/AT4G22710/AT3G04210/AT3G01830/AT1G11050/AT2G27500/AT2G41410/AT2G43290" 52
"GO:0001666" "BP" "GO:0001666" "response to hypoxia" 0.215447154471545 "324/25784" 8.17452914484527e-50 1.13135483364659e-47 8.29499589013773e-48 "AT3G13310/AT5G54490/AT2G23270/AT5G27420/AT5G26920/AT5G62520/AT5G59820/AT5G57560/AT5G57220/AT5G47910/AT5G35735/AT5G19240/AT3G55980/AT4G29780/AT4G24570/AT4G20860/AT4G12720/AT4G01250/AT1G66090/AT3G08720/AT1G76650/AT1G76600/AT1G68840/AT1G72900/AT1G72940/AT1G09070/AT1G61340/AT1G23710/AT2G25735/AT2G41100/AT2G40000/AT2G26190/AT1G73500/AT5G63130/AT5G42380/AT5G06320/AT3G56400/AT4G34150/AT4G27280/AT1G25560/AT3G02550/AT1G27730/AT1G72920/AT2G41010/AT5G04340/AT5G05410/AT4G11660/AT1G66180/AT3G15210/AT1G13260/AT2G40140/AT1G03220/AT2G27500" 53
"GO:0036293" "BP" "GO:0036293" "response to decreased oxygen levels" 0.215447154471545 "332/25784" 3.14690075813338e-49 3.62942554104716e-47 2.66106344810577e-47 "AT3G13310/AT5G54490/AT2G23270/AT5G27420/AT5G26920/AT5G62520/AT5G59820/AT5G57560/AT5G57220/AT5G47910/AT5G35735/AT5G19240/AT3G55980/AT4G29780/AT4G24570/AT4G20860/AT4G12720/AT4G01250/AT1G66090/AT3G08720/AT1G76650/AT1G76600/AT1G68840/AT1G72900/AT1G72940/AT1G09070/AT1G61340/AT1G23710/AT2G25735/AT2G41100/AT2G40000/AT2G26190/AT1G73500/AT5G63130/AT5G42380/AT5G06320/AT3G56400/AT4G34150/AT4G27280/AT1G25560/AT3G02550/AT1G27730/AT1G72920/AT2G41010/AT5G04340/AT5G05410/AT4G11660/AT1G66180/AT3G15210/AT1G13260/AT2G40140/AT1G03220/AT2G27500" 53
"GO:0070482" "BP" "GO:0070482" "response to oxygen levels" 0.215447154471545 "333/25784" 3.71473670717793e-49 3.67228257338161e-47 2.69248585392445e-47 "AT3G13310/AT5G54490/AT2G23270/AT5G27420/AT5G26920/AT5G62520/AT5G59820/AT5G57560/AT5G57220/AT5G47910/AT5G35735/AT5G19240/AT3G55980/AT4G29780/AT4G24570/AT4G20860/AT4G12720/AT4G01250/AT1G66090/AT3G08720/AT1G76650/AT1G76600/AT1G68840/AT1G72900/AT1G72940/AT1G09070/AT1G61340/AT1G23710/AT2G25735/AT2G41100/AT2G40000/AT2G26190/AT1G73500/AT5G63130/AT5G42380/AT5G06320/AT3G56400/AT4G34150/AT4G27280/AT1G25560/AT3G02550/AT1G27730/AT1G72920/AT2G41010/AT5G04340/AT5G05410/AT4G11660/AT1G66180/AT3G15210/AT1G13260/AT2G40140/AT1G03220/AT2G27500" 53
"GO:0009751" "BP" "GO:0009751" "response to salicylic acid" 0.191056910569106 "459/25784" 1.90938510064594e-34 1.65161811205874e-32 1.21095212962019e-32 "AT2G41640/AT4G36500/AT5G52750/AT5G35735/AT5G19240/AT3G52400/AT3G50930/AT4G29780/AT4G27652/AT1G27770/AT1G80840/AT1G72940/AT1G70090/AT1G61340/AT2G32140/AT2G25735/AT2G40000/AT2G39650/AT4G14365/AT5G16200/AT5G25930/AT5G64310/AT5G47960/AT5G41740/AT5G06320/AT3G56400/AT4G31800/AT4G23610/AT4G23810/AT1G25400/AT3G02800/AT3G11820/AT1G79680/AT1G03730/AT1G55450/AT2G01300/AT5G52760/AT3G61190/AT3G54000/AT3G50480/AT4G39030/AT4G22980/AT3G04210/AT1G11050/AT2G27500/AT2G41410/AT2G43290" 47
"GO:0006955" "BP" "GO:0006955" "immune response" 0.105691056910569 "283/25784" 3.81574479131115e-18 2.9338837728748e-16 2.15109823323038e-16 "AT5G50260/AT2G23270/AT5G57220/AT5G37770/AT5G05300/AT3G52400/AT3G50930/AT4G12720/AT1G18570/AT3G30720/AT3G18690/AT5G61900/AT5G47960/AT5G47220/AT5G01540/AT3G56400/AT3G11820/AT1G67470/AT2G39660/AT5G58430/AT4G39030/AT4G37290/AT3G15210/AT3G04210/AT1G53440/AT1G73080" 26
"GO:0002682" "BP" "GO:0002682" "regulation of immune system process" 0.0853658536585366 "179/25784" 4.89158920473414e-17 3.38497972967603e-15 2.48183789124406e-15 "AT4G36500/AT5G52750/AT5G35735/AT5G05300/AT3G52400/AT4G12720/AT3G18690/AT4G14365/AT5G47220/AT5G41740/AT5G01540/AT3G56400/AT3G55950/AT4G23610/AT1G25400/AT3G11820/AT1G67470/AT1G03730/AT1G55450/AT2G39660/AT3G15210" 21
