"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p_adjust" "qvalue" "geneID" "Count"
"GO:0006412" "BP" "GO:0006412" "translation" "3/3" "474/7824" 0.000221035228771904 0.00114059590953224 0.000320167272851156 "8302319/8302318/8302316" 3
"GO:0042255" "BP" "GO:0042255" "ribosome assembly" "2/3" "68/7824" 0.000222051098142518 0.00114059590953224 0.000320167272851156 "8302319/8302316" 2
"GO:0043043" "BP" "GO:0043043" "peptide biosynthetic process" "3/3" "479/7824" 0.000228119181906449 0.00114059590953224 0.000320167272851156 "8302319/8302318/8302316" 3
"GO:0140694" "BP" "GO:0140694" "non-membrane-bounded organelle assembly" "2/3" "94/7824" 0.000425119575504724 0.00159419840814271 0.000447494290004972 "8302319/8302316" 2
"GO:0070925" "BP" "GO:0070925" "organelle assembly" "2/3" "123/7824" 0.000727917199704996 0.00218375159911499 0.000612982905014734 "8302319/8302316" 2
"GO:0042254" "BP" "GO:0042254" "ribosome biogenesis" "2/3" "265/7824" 0.00335214835429887 0.00838037088574716 0.00235238481003429 "8302319/8302316" 2
"GO:0022613" "BP" "GO:0022613" "ribonucleoprotein complex biogenesis" "2/3" "339/7824" 0.00545480024168373 0.0116888576607509 0.00328108285214059 "8302319/8302316" 2
"GO:0022607" "BP" "GO:0022607" "cellular component assembly" "2/3" "438/7824" 0.00903293090556589 0.016936745447936 0.00475417416082415 "8302319/8302316" 2
"GO:0000027" "BP" "GO:0000027" "ribosomal large subunit assembly" "1/3" "30/7824" 0.0114604762903039 0.0191007938171731 0.00536162633464509 "8302319" 1
"GO:0002181" "BP" "GO:0002181" "cytoplasmic translation" "1/3" "76/7824" 0.0288626062004553 0.0419205566230411 0.0117671737889238 "8302318" 1
"GO:0042273" "BP" "GO:0042273" "ribosomal large subunit biogenesis" "1/3" "81/7824" 0.0307417415235635 0.0419205566230411 0.0117671737889238 "8302319" 1
"GO:0015934" "CC" "GO:0015934" "large ribosomal subunit" "3/3" "141/8060" 5.24225916881463e-06 3.14535550128878e-05 NA "8302319/8302318/8302316" 3
"GO:0044391" "CC" "GO:0044391" "ribosomal subunit" "3/3" "244/8060" 2.74137220609799e-05 8.22411661829398e-05 NA "8302319/8302318/8302316" 3
"GO:0005840" "CC" "GO:0005840" "ribosome" "3/3" "334/8060" 7.05481002525402e-05 0.00014109620050508 NA "8302319/8302318/8302316" 3
"GO:0022625" "CC" "GO:0022625" "cytosolic large ribosomal subunit" "2/3" "107/8060" 0.000519284659749024 0.000778926989623536 NA "8302319/8302318" 2
"GO:0022626" "CC" "GO:0022626" "cytosolic ribosome" "2/3" "171/8060" 0.00132383831943191 0.0015886059833183 NA "8302319/8302318" 2
"GO:0009507" "CC" "GO:0009507" "chloroplast" "2/3" "454/8060" 0.00914338438020273 0.00914338438020273 NA "8302319/8302316" 2
"GO:0003735" "MF" "GO:0003735" "structural constituent of ribosome" "3/3" "314/9229" 3.90216677851463e-05 7.80433355702927e-05 NA "8302319/8302318/8302316" 3
"GO:0005198" "MF" "GO:0005198" "structural molecule activity" "3/3" "440/9229" 0.000107663515054923 0.000107663515054923 NA "8302319/8302318/8302316" 3
