Condition_1,Condition_2,CellType,Gene,Reg_direct
X,Z,D,RNF220,1
X,Z,D,FRMD5,1
X,Z,D,AC092691.1,1
X,Z,D,TNRC6B,1
X,Z,D,GNAO1,1
X,Z,D,MICAL3,1
X,Z,D,GAB2,1
X,Z,D,RERE,1
X,Z,D,PRKAR2A,1
X,Z,D,PEAK1,1
X,Z,D,CTNNA3,1
X,Z,D,PRRC2C,1
X,Z,D,CDH1,1
X,Z,D,TCF12,1
X,Z,D,ARID4B,1
X,Z,D,SREBF1,1
X,Z,D,TRPC4AP,1
X,Z,D,APP,1
X,Z,D,TPT1-AS1,1
X,Z,D,NCOA6,1
X,Z,D,LINC01170,1
X,Z,D,UBE2D2,1
X,Z,D,HM13,1
X,Z,D,OAF,1
X,Z,D,ANKRD23,1
X,Z,D,ACER3,1
X,Z,D,GRID1,1
X,Z,D,BAZ2B,1
X,Z,D,RTN3,1
X,Z,D,AC016597.1,1
X,Z,D,ANKRD13A,1
X,Z,D,ACYP2,1
X,Z,D,TNS1,1
X,Z,D,WIPF2,1
X,Z,D,UGDH-AS1,1
X,Z,D,DDX18,1
X,Z,D,MT-CO3,1
X,Z,D,AC004951.1,1
X,Z,D,RLF,1
X,Z,D,GRIK4,1
X,Z,D,AC108721.2,1
X,Z,D,ANKH,1
X,Z,D,HECTD4,1
X,Z,D,SPATA13,1
X,Z,D,MOBP,1
X,Z,D,MORC3,1
X,Z,D,VPS33A,1
X,Z,D,DCAF10,1
X,Z,D,PFKFB3,1
X,Z,D,TRIM13,1
X,Z,D,ADD1,1
X,Z,D,CARS,1
X,Z,D,NXPE3,1
X,Z,D,ZNF354B,1
X,Z,D,IMMT,1
X,Z,D,PPDPF,1
X,Z,D,GNG3,1
X,Z,D,SEC24C,1
X,Z,D,FAM20C,1
X,Z,D,RNF115,1
X,Z,D,ACVR2B,1
X,Z,D,KIF2A,1
X,Z,D,FBXL18,1
X,Z,D,HECW2,1
X,Z,D,CARHSP1,1
X,Z,D,C5orf64,1
X,Z,D,HMOX2,1
X,Z,D,ANKS6,1
X,Z,D,GNAQ,1
X,Z,D,SMARCB1,1
X,Z,D,PPM1D,1
X,Z,D,CDC40,1
X,Z,D,PRKCQ,1
X,Z,D,MRPS5,1
X,Z,D,CRYZL1,1
X,Z,D,ACACB,1
X,Z,D,MFAP3L,1
X,Z,D,RAB5A,1
X,Z,D,ZNF274,1
X,Z,D,SLC25A51,1
X,Z,D,ZNF562,1
X,Z,D,SHLD1,1
X,Z,D,EIF3J,1
X,Z,D,SPART,1
X,Z,D,BMS1,1
X,Z,D,TLK2,1
X,Z,D,MARS,1
X,Z,D,RMND5A,1
X,Z,D,RNF170,1
X,Z,D,BBX,1
X,Z,D,GAREM1,1
X,Z,D,KIF1C,1
X,Z,D,AZIN1-AS1,1
X,Z,D,LINC00663,1
X,Z,D,EIF2AK2,1
X,Z,D,KDM2B-DT,1
X,Z,D,PIK3CB,1
X,Z,D,FBN1,1
X,Z,D,MRPS25,1
X,Z,D,LYRM7,1
X,Z,D,TBC1D17,1
X,Z,D,SNX4,1
X,Z,D,DDX3Y,1
X,Z,D,NPIPB2,1
X,Z,D,SLC25A18,1
X,Z,D,MARCKSL1,1
X,Z,D,TOX4,1
X,Z,D,YWHAZ,1
X,Z,D,PLEKHG1,1
X,Z,D,PA2G4,1
X,Z,D,RBCK1,1
X,Z,D,AL133244.2,1
X,Z,D,NEK9,1
X,Z,D,SACS,1
X,Z,D,GLIPR2,1
X,Z,D,C3,1
X,Z,D,DHX37,1
X,Z,D,CRADD,1
X,Z,D,TMEM87A,1
X,Z,D,TMEM171,1
X,Z,D,CPNE1,1
X,Z,D,LURAP1,1
X,Z,D,PRPSAP2,1
X,Z,D,CAPRIN1,1
X,Z,D,SRSF7,1
X,Z,D,TBC1D20,1
X,Z,D,ATP5F1C,1
X,Z,D,ECSIT,1
X,Z,D,UQCRC2,1
X,Z,D,ZC3H15,1
X,Z,D,MRPL43,1
X,Z,D,QSOX1,1
X,Z,D,UBE2E3,1
X,Z,D,FAM174B,1
X,Z,D,C11orf58,1
X,Z,D,LINC00662,1
X,Z,D,BEND6,1
X,Z,D,CAMSAP2,1
X,Z,D,SMAD1,1
X,Z,D,PLXND1,1
X,Z,D,CCT5,1
X,Z,D,ANKS1A,1
X,Z,D,TMEM9B-AS1,1
X,Z,D,PYGB,1
X,Z,D,ZNF24,1
X,Z,D,SGPP1,1
X,Z,D,CYCS,1
X,Z,D,SLC38A10,1
X,Z,D,CYP2J2,1
X,Z,D,TUBD1,1
X,Z,D,SLFN5,1
X,Z,D,CEBPZ,1
X,Z,D,CCDC144NL,1
X,Z,D,UBE3A,1
X,Z,D,NUMB,1
X,Z,D,PARL,1
X,Z,D,ZNF708,1
X,Z,D,AARSD1,1
X,Z,D,SPHK2,1
X,Z,D,DNAJC16,1
X,Y,D,MOBP,1
X,Y,D,CNP,1
X,Y,D,ACER3,1
X,Y,D,CDH1,1
X,Y,D,TCF12,1
X,Y,D,NAALADL2,1
X,Y,D,APP,1
X,Y,D,HIPK2,1
X,Y,D,SHROOM4,1
X,Y,D,PLP1,1
X,Y,D,RBPJ,1
X,Y,D,TNS1,1
X,Y,D,SYT14,1
X,Y,D,GRID1,1
X,Y,D,KCNJ10,1
X,Y,D,RERE,1
X,Y,D,BAZ2B,1
X,Y,D,ELMO1,1
X,Y,D,GALNT13,1
X,Y,D,LRRTM4,1
X,Y,D,ACYP2,1
X,Y,D,SREBF1,1
X,Y,D,APCDD1,1
X,Y,D,TMEM171,1
X,Y,D,UNK,1
X,Y,D,GATM,1
X,Y,D,AVEN,1
X,Y,D,LINC01572,1
X,Y,D,GNAQ,1
X,Y,D,RTN3,1
X,Y,D,AL133346.1,1
X,Y,D,CUX1,1
X,Y,D,MPPED1,1
X,Y,D,NDUFB2,1
X,Y,D,NIPAL4,1
X,Y,D,TNRC18,1
X,Y,D,HECW2,1
X,Y,D,GNG3,1
X,Y,D,NCOA6,1
X,Y,D,AL133325.3,1
X,Y,D,MARCKSL1,1
X,Y,D,SNRPD1,1
X,Y,D,SMARCA4,1
X,Y,D,PPDPF,1
X,Y,D,TRIM33,1
X,Y,D,LURAP1,1
X,Y,D,PLPP1,1
X,Y,D,AC010884.1,2
X,Y,D,RHOBTB3,2
X,Y,D,SEM1,2
X,Y,D,CRYAB,2
X,Y,D,KLF9,2
X,Y,D,MCF2L2,2
X,Y,D,ZNF483,2
X,Y,D,KLRD1,2
X,Y,D,MAT2A,2
X,Y,D,NPTX2,2
Z,X,D,FAM221A,1
Z,X,D,AARSD1,2
Z,X,D,ZNF708,2
Z,X,D,ZNF793,2
Z,X,D,PARL,2
Z,X,D,NUMB,2
Z,X,D,IVNS1ABP,2
Z,X,D,CBL,2
Z,X,D,CEBPZ,2
Z,X,D,CYP2J2,2
Z,X,D,GDAP1,2
Z,X,D,SLC38A10,2
Z,X,D,DUS3L,2
Z,X,D,CAPN2,2
Z,X,D,SGPP1,2
Z,X,D,ZNF24,2
Z,X,D,CES4A,2
Z,X,D,ABCB9,2
Z,X,D,AL139424.3,2
Z,X,D,PLXND1,2
Z,X,D,MKRN1,2
Z,X,D,SMAD1,2
Z,X,D,NIPSNAP1,2
Z,X,D,AP4E1,2
Z,X,D,PRH1,2
Z,X,D,CAMSAP2,2
Z,X,D,BEND6,2
Z,X,D,ARID1B,2
Z,X,D,BCKDHA,2
Z,X,D,FAM174B,2
Z,X,D,UBE2E3,2
Z,X,D,MRPL43,2
Z,X,D,KBTBD6,2
Z,X,D,ZC3H15,2
Z,X,D,UQCRC2,2
Z,X,D,PLXNB1,2
Z,X,D,TBC1D20,2
Z,X,D,SRSF7,2
Z,X,D,PRPSAP2,2
Z,X,D,LURAP1,2
Z,X,D,CPNE1,2
Z,X,D,TMEM171,2
Z,X,D,METTL6,2
Z,X,D,CRADD,2
Z,X,D,DHX37,2
Z,X,D,GLIPR2,2
Z,X,D,SACS,2
Z,X,D,DNAJC22,2
Z,X,D,NEK9,2
Z,X,D,HIST1H4C,2
Z,X,D,AL133244.2,2
Z,X,D,RBCK1,2
Z,X,D,SV2B,2
Z,X,D,JUN,2
Z,X,D,USP5,2
Z,X,D,AIF1,2
Z,X,D,ZNF644,2
Z,X,D,MARCH3,2
Z,X,D,PLEKHG1,2
Z,X,D,EMC1-AS1,2
Z,X,D,RABL6,2
Z,X,D,SLC25A18,2
Z,X,D,NPIPB2,2
Z,X,D,DDX3Y,2
