Condition_1,Condition_2,CellType,Gene,Reg_direct
Z,X,D,RNF220,2
Z,X,D,NEDD4L,2
Z,X,D,CNP,2
Z,X,D,AC092691.1,2
Z,X,D,C5orf17,2
Z,X,D,SMARCA4,2
Z,X,D,OSBP2,2
Z,X,D,CUX1,2
Z,X,D,CDH1,2
Z,X,D,PRKAR2A,2
Z,X,D,ITPK1,2
Z,X,D,GPI,2
Z,X,D,OAF,2
Z,X,D,MAPT,2
Z,X,D,HM13,2
Z,X,D,NPIPB5,2
Z,X,D,INSR,2
Z,X,D,ECE1,2
Z,X,D,PRKCZ,2
Z,X,D,NCL,2
Z,X,D,CXXC5,2
Z,X,D,AC004951.1,2
Z,X,D,ANKRD23,2
Z,X,D,LRRC4B,2
Z,X,D,KCNJ10,2
Z,X,D,SREBF1,2
Z,X,D,PRRC2C,2
Z,X,D,DDX18,2
Z,X,D,CALY,2
Z,X,D,Z93930.2,2
Z,X,D,TNS1,2
Z,X,D,TPT1-AS1,2
Z,X,D,VPS33A,2
Z,X,D,MICAL3,2
Z,X,D,WIPF2,2
Z,X,D,ZNF354B,2
Z,X,D,CORO2B,2
Z,X,D,DAP3,2
Z,X,D,RPS27,2
Z,X,D,UBE2D2,2
Z,X,D,LTBP3,2
Z,X,D,UNK,2
Z,X,D,GNAO1,2
Z,X,D,NPIPB4,2
Z,X,D,ACVR2B,2
Z,X,D,SEC24C,2
Z,X,D,CARS,2
Z,X,D,TNRC18,2
Z,X,D,NOL4L,2
Z,X,D,GRIK4,2
Z,X,D,UGDH-AS1,2
Z,X,D,APCDD1,2
Z,X,D,STYXL1,2
Z,X,D,FAM221A,1
Z,X,D,SLC27A4,2
Z,X,D,SREBF2,2
Z,X,D,TNRC6B,2
Z,X,D,RLF,2
Z,X,D,DCAF10,2
Z,X,D,LINC00320,1
Z,X,D,HMOX2,2
Z,X,D,FBXL18,2
Z,X,D,PSMF1,2
Z,X,D,GNE,2
Z,X,D,POM121C,2
Z,X,D,MGAT3,2
Z,X,D,USP8,2
Z,X,D,IMMT,2
Z,X,D,FASN,2
Z,X,D,ZBTB47,2
Z,X,D,TBC1D10B,2
Z,X,D,ANKS6,2
Z,X,D,EHMT1,2
Z,X,D,USP11,2
Z,X,D,MORC3,2
Z,X,D,ANKRD13A,2
Z,X,D,RABEPK,2
Z,X,D,SHLD1,2
Z,X,D,CARHSP1,2
Z,X,D,FAM20C,2
Z,X,D,UTP20,2
Z,X,D,LARGE1,2
Z,X,D,ZNF839,2
Z,X,D,SMARCB1,2
Z,X,D,SPTLC2,2
Z,X,D,ATXN3,2
Z,X,D,RNF115,2
Z,X,D,LINC01170,2
Z,X,D,LRRC23,2
Z,X,D,BMS1,2
Z,X,D,LLGL2,2
Z,X,D,SLC20A2,2
Z,X,D,MARS,2
Z,X,D,NIPAL4,2
Z,X,D,CDC40,2
Z,X,D,SLC25A51,2
Z,X,D,PFKFB3,2
Z,X,D,EIF5,2
Z,X,D,ABL1,2
Z,X,D,AL035681.1,2
Z,X,D,ZNF274,2
Z,X,D,PEAK1,2
Z,X,D,BECN1,2
Z,X,D,LINC00663,2
Z,X,D,MRPS25,2
Z,X,D,B3GLCT,2
Z,X,D,SBF1,2
Z,X,D,CRYAB,1
Z,X,D,MT-CO3,2
Z,X,D,PPM1D,2
Z,X,D,ACTR1A,2
Z,X,D,LANCL1-AS1,1
Z,X,D,ARID4B,2
Z,X,D,RHOBTB3,2
Z,X,D,MED15,2
Z,X,D,TBCD,2
Z,X,D,ZNF562,2
Z,X,D,ABCB8,2
Z,X,D,DDX3Y,2
Z,X,D,EIF2AK2,2
Z,X,D,TBC1D17,2
Z,X,D,LINC00609,1
Z,X,D,SHROOM4,2
Z,X,D,AL133244.2,2
Z,X,D,JUN,2
Z,X,D,ICK,2
Z,X,D,NCAPD2,2
Z,X,D,EMC1-AS1,2
Z,X,D,HECTD4,2
Z,X,D,USP5,2
Z,X,D,ARPC1A,2
Z,X,D,COQ10B,2
Z,X,D,CRYZL1,2
Z,X,D,NCOA6,2
Z,X,D,BCAT2,2
Z,X,D,TOX4,2
Z,X,D,PKNOX1,2
Z,X,D,TSC1,2
Z,X,D,PA2G4,2
Z,X,D,LANCL1,1
Z,X,D,AZIN1-AS1,2
Z,X,D,SRGAP1,2
Z,X,D,DNAJC22,2
Z,X,D,MRPL43,2
Z,X,D,SV2B,2
Z,X,D,ATP5F1C,2
Z,X,D,HIST1H4C,2
Z,X,D,RBCK1,2
Z,X,D,NT5DC1,1
Z,X,D,ECSIT,2
Z,X,D,PLEKHG1,2
Z,X,D,SEPTIN2,2
Z,X,D,BEND6,2
Z,X,D,ABCB9,2
Z,X,D,QSOX1,2
Z,X,D,HSPA9,2
Z,X,D,AC004158.1,2
Y,X,D,KCNMB4,1
Y,X,D,RNF220,2
Y,X,D,MOBP,2
Y,X,D,CNP,2
Y,X,D,LINC01170,2
Y,X,D,AC004158.1,2
Y,X,D,UBE3A,1
Y,X,D,HSPB1,1
Y,X,D,NPTX2,1
Y,X,D,CDH1,2
Y,X,D,ZNF708,1
Y,X,D,MAT2A,1
Y,X,D,CRYAB,1
Y,X,D,C5orf64,2
Y,X,D,ACER3,2
Y,X,D,NAALADL2,2
Y,X,D,TMPRSS5,1
Y,X,D,SLC9A9,1
Y,X,D,KLRD1,1
Y,X,D,ZNF483,1
Y,X,D,C5orf17,2
Y,X,D,FRMD5,2
Y,X,D,TNS1,2
Y,X,D,GPI,2
Y,X,D,CYP2J2,2
Y,X,D,CTNNA3,2
Y,X,D,MCF2L2,1
Y,X,D,SHROOM4,2
Y,X,D,KCNJ10,2
Y,X,D,HIPK2,2
Y,X,D,RHOBTB3,1
Y,X,D,SYT14,2
Y,X,D,LRRC4B,2
Y,X,D,CDH8,2
Y,X,D,LANCL1,2
Y,X,D,SCFD2,2
Y,X,D,GAB2,2
Y,X,D,MRPS25,2
Y,X,D,LRRTM4,2
Y,X,D,OAF,2
Y,X,D,SEM1,1
Y,X,D,APCDD1,2
Y,X,D,TCF12,2
Y,X,D,AZIN1-AS1,2
Y,X,D,UNK,2
Y,X,D,MSI2,1
Y,X,D,PLP1,2
Y,X,D,FIGN,1
Y,X,D,MFAP3L,1
Y,X,D,HERC6,1
Y,X,D,ADAMTS8,2
Y,X,D,NDUFB2,2
Y,X,D,WIPF2,2
Y,X,D,AVEN,2
Y,X,D,LINC01572,2
Y,X,D,AL133346.1,2
Y,X,D,NPIPB5,2
Y,X,D,KIF2A,2
Y,X,D,SV2B,2
Y,X,D,NIPAL4,2
Y,X,D,DDX3Y,1
Y,X,D,ITGB3BP,1
Y,X,D,GATM,2
Y,X,D,FAM221A,1
Y,X,D,SNRPD1,2
Y,X,D,AL133325.3,2
Y,X,D,ACSBG1,1
Y,X,D,MYO5A,2
Y,X,D,TNRC18,2
Y,X,D,ABL1,2
Y,X,D,SPATS2L,1
Y,X,D,SMARCA4,2
Y,X,D,KLF9,1
Y,X,D,CUX1,2
Y,X,D,ZNF146,2
Y,X,D,RBPJ,2
Y,X,D,POC1B,2
Y,X,D,AC026316.5,1
Y,X,D,AC010884.1,1
X,Z,D,RNF220,1
X,Z,D,NEDD4L,1
X,Z,D,CNP,1
X,Z,D,AC092691.1,1
X,Z,D,C5orf17,1
X,Z,D,SMARCA4,1
X,Z,D,OSBP2,1
X,Z,D,CUX1,1
X,Z,D,CDH1,1
X,Z,D,PRKAR2A,1
X,Z,D,ITPK1,1
X,Z,D,GPI,1
X,Z,D,OAF,1
X,Z,D,MAPT,1
X,Z,D,HM13,1
X,Z,D,NPIPB5,1
X,Z,D,INSR,1
X,Z,D,ECE1,1
X,Z,D,PRKCZ,1
X,Z,D,NCL,1
X,Z,D,CXXC5,1
X,Z,D,AC004951.1,1
X,Z,D,ANKRD23,1
X,Z,D,LRRC4B,1
X,Z,D,KCNJ10,1
X,Z,D,SREBF1,1
X,Z,D,PRRC2C,1
X,Z,D,DDX18,1
X,Z,D,CALY,1
X,Z,D,Z93930.2,1
X,Z,D,TNS1,1
X,Z,D,TPT1-AS1,1
X,Z,D,VPS33A,1
X,Z,D,MICAL3,1
X,Z,D,WIPF2,1
X,Z,D,ZNF354B,1
X,Z,D,CORO2B,1
X,Z,D,DAP3,1
X,Z,D,RPS27,1
X,Z,D,UBE2D2,1
X,Z,D,LTBP3,1
X,Z,D,UNK,1
X,Z,D,GNAO1,1
X,Z,D,NPIPB4,1
X,Z,D,ACVR2B,1
X,Z,D,SEC24C,1
X,Z,D,CARS,1
X,Z,D,TNRC18,1
X,Z,D,NOL4L,1
X,Z,D,GRIK4,1
X,Z,D,UGDH-AS1,1
X,Z,D,APCDD1,1
X,Z,D,STYXL1,1
X,Z,D,FAM221A,2
X,Z,D,SLC27A4,1
X,Z,D,SREBF2,1
X,Z,D,TNRC6B,1
X,Z,D,RLF,1
X,Z,D,DCAF10,1
X,Z,D,LINC00320,2
X,Z,D,HMOX2,1
X,Z,D,FBXL18,1
X,Z,D,PSMF1,1
X,Z,D,GNE,1
X,Z,D,POM121C,1
X,Z,D,MGAT3,1
X,Z,D,USP8,1
X,Z,D,IMMT,1
X,Z,D,FASN,1
X,Z,D,ZBTB47,1
X,Z,D,TBC1D10B,1
X,Z,D,ANKS6,1
X,Z,D,EHMT1,1
X,Z,D,USP11,1
X,Z,D,MORC3,1
X,Z,D,ANKRD13A,1
X,Z,D,RABEPK,1
X,Z,D,SHLD1,1
X,Z,D,CARHSP1,1
X,Z,D,FAM20C,1
X,Z,D,UTP20,1
X,Z,D,LARGE1,1
X,Z,D,ZNF839,1
X,Z,D,SMARCB1,1
X,Z,D,SPTLC2,1
X,Z,D,ATXN3,1
X,Z,D,RNF115,1
X,Z,D,LINC01170,1
X,Z,D,LRRC23,1
X,Z,D,BMS1,1
X,Z,D,LLGL2,1
X,Z,D,SLC20A2,1
X,Z,D,MARS,1
X,Z,D,NIPAL4,1
X,Z,D,CDC40,1
X,Z,D,SLC25A51,1
X,Z,D,PFKFB3,1
X,Z,D,EIF5,1
X,Z,D,ABL1,1
X,Z,D,AL035681.1,1
X,Z,D,ZNF274,1
X,Z,D,PEAK1,1
X,Z,D,BECN1,1
X,Z,D,LINC00663,1
X,Z,D,MRPS25,1
X,Z,D,B3GLCT,1
X,Z,D,SBF1,1
X,Z,D,CRYAB,2
X,Z,D,MT-CO3,1
X,Z,D,PPM1D,1
X,Z,D,ACTR1A,1
X,Z,D,LANCL1-AS1,2
X,Z,D,ARID4B,1
X,Z,D,RHOBTB3,1
X,Z,D,MED15,1
X,Z,D,TBCD,1
X,Z,D,ZNF562,1
X,Z,D,ABCB8,1
X,Z,D,DDX3Y,1
X,Z,D,EIF2AK2,1
X,Z,D,TBC1D17,1
X,Z,D,LINC00609,2
X,Z,D,SHROOM4,1
X,Z,D,AL133244.2,1
X,Z,D,JUN,1
X,Z,D,ICK,1
X,Z,D,NCAPD2,1
X,Z,D,EMC1-AS1,1
X,Z,D,HECTD4,1
X,Z,D,USP5,1
X,Z,D,ARPC1A,1
X,Z,D,COQ10B,1
X,Z,D,CRYZL1,1
X,Z,D,NCOA6,1
X,Z,D,BCAT2,1
X,Z,D,TOX4,1
X,Z,D,PKNOX1,1
X,Z,D,TSC1,1
X,Z,D,PA2G4,1
X,Z,D,LANCL1,2
X,Z,D,AZIN1-AS1,1
X,Z,D,SRGAP1,1
X,Z,D,DNAJC22,1
X,Z,D,MRPL43,1
X,Z,D,SV2B,1
X,Z,D,ATP5F1C,1
X,Z,D,HIST1H4C,1
X,Z,D,RBCK1,1
X,Z,D,NT5DC1,2
X,Z,D,ECSIT,1
X,Z,D,PLEKHG1,1
X,Z,D,SEPTIN2,1
X,Z,D,BEND6,1
X,Z,D,ABCB9,1
X,Z,D,QSOX1,1
X,Z,D,HSPA9,1
X,Z,D,AC004158.1,1
Y,Z,D,KCNMB4,1
Y,Z,D,MOBP,2
Y,Z,D,HSPB1,1
Y,Z,D,NEDD4L,1
Y,Z,D,AC092691.1,1
Y,Z,D,RHOBTB3,1
Y,Z,D,UBE3A,1
Y,Z,D,DDX3Y,1
Y,Z,D,NPTX2,1
Y,Z,D,LANCL1,2
Y,Z,D,EIF2AK2,1
Y,Z,D,GRIK4,1
Y,Z,D,HERC6,1
Y,Z,D,MAPT,1
Y,Z,D,CTNNA3,2
Y,Z,D,SLFN5,1
Y,Z,D,TBCD,1
Y,Z,D,ACSBG1,1
Y,Z,D,SLC9A9,1
Y,Z,D,UBE2B,1
