Q8MYY6	Dmel_CG10000
D6W4V7	Dmel_CG10001
P14734	Dmel_CG10002
E1JJ07	Dmel_CG10002
A0A0B4KH69	Dmel_CG10005
A4IJ72	Dmel_CG10006
Q9VGF5	Dmel_CG10007
Q9VAU9	Dmel_CG10009
Q9VAU5	Dmel_CG10011
Q9VGA7	Dmel_CG10013
Q9VGC1	Dmel_CG10014
Q9VQS6	Dmel_CG10016
A0A1B2AJP0	Dmel_CG10016
Q9VND2	Dmel_CG10018
Q9VQU7	Dmel_CG10019
Q9VQU9	Dmel_CG10021
A4V047	Dmel_CG10021
B7YZL9	Dmel_CG10023
Q9VIW1	Dmel_CG10026
Q9VI96	Dmel_CG10029
Q9VQU0	Dmel_CG10031
P32023	Dmel_CG10033
M9PG80	Dmel_CG10034
Q9VG91	Dmel_CG10035
P56672	Dmel_CG10036
Q95RN0	Dmel_CG10038
Q9VGA5	Dmel_CG10041
Q9VGA4	Dmel_CG10042
A8DZ19	Dmel_CG10043
P20432	Dmel_CG10045
Q9U6P7	Dmel_CG10047
Q9VI85	Dmel_CG10050
A1ZBK1	Dmel_CG10051
Q9W2Q1	Dmel_CG10052
Q9VI83	Dmel_CG10053
Q9VI74	Dmel_CG10055
B5RIW4	Dmel_CG10055
Q9I7L4	Dmel_CG10059
P20353	Dmel_CG10060
P16241	Dmel_CG10037
A8E6G8	Dmel_CG10037
P20350	Dmel_CG1004
Q540V7	Dmel_CG1004
Q9VI72	Dmel_CG10061
E1JGM3	Dmel_CG10062
Q9VS03	Dmel_CG10063
Q9VS00	Dmel_CG10064
P53501	Dmel_CG10067
C8VV69	Dmel_CG10067
Q9VI65	Dmel_CG10068
Q9W2I6	Dmel_CG10069
Q24154	Dmel_CG10071
A0A1B2AJK8	Dmel_CG10071
O02373	Dmel_CG10072
A0A0B4KFC9	Dmel_CG10073
Q9VRZ7	Dmel_CG10075
Q9U1K1	Dmel_CG10076
Q8MZI3	Dmel_CG10077
Q967S0	Dmel_CG10078
P04412	Dmel_CG10079
Q9W2F2	Dmel_CG10080
A0A0B4K8A5	Dmel_CG10080
A0A0B4KG92	Dmel_CG10081
Q961X0	Dmel_CG10082
Q9VIV2	Dmel_CG10084
Q8SYU5	Dmel_CG10086
M9PI51	Dmel_CG10089
P18491	Dmel_CG1007
Q9VU84	Dmel_CG10083
Q9W0E4	Dmel_CG1009
Q9VGA2	Dmel_CG10090
A0A0B4LH92	Dmel_CG10090
Q9VGA0	Dmel_CG10091
Q8SXK2	Dmel_CG10092
Q9VGB3	Dmel_CG10093
D4G7E5	Dmel_CG10093
Q9VGB4	Dmel_CG10094
Q9VGD0	Dmel_CG10095
Q9VG87	Dmel_CG10096
Q9VG86	Dmel_CG10097
Q9VI64	Dmel_CG10098
Q9VIA5	Dmel_CG10101
M9PEC1	Dmel_CG10103
A1Z9Q9	Dmel_CG10104
Q9V719	Dmel_CG10105
Q7KJ73	Dmel_CG10106
Q8MR14	Dmel_CG10107
Q27934	Dmel_CG10108
Q9V726	Dmel_CG10110
Q7JZW0	Dmel_CG10112
Q9VIA6	Dmel_CG10113
Q9VU78	Dmel_CG10116
Q9V730	Dmel_CG10117
A0A0B4KER9	Dmel_CG10117
P18459	Dmel_CG10118
B5X0J4	Dmel_CG10118
Q03427	Dmel_CG10119
Q2QBM1	Dmel_CG10120
Q0E8H7	Dmel_CG10121
P91875	Dmel_CG10122
Q9NG98	Dmel_CG10123
Q9VG23	Dmel_CG10126
P19018	Dmel_CG10128
Q9VRY0	Dmel_CG10124
Q9VRX6	Dmel_CG10125
M9PEB8	Dmel_CG10125
P98159	Dmel_CG10129
Q7JZN0	Dmel_CG10130
Q5U1B0	Dmel_CG10131
Q9VIU8	Dmel_CG10132
Q9VU77	Dmel_CG10133
Q9VG24	Dmel_CG10134
Q9VIU5	Dmel_CG10137
Q9W2A5	Dmel_CG10138
A0A0B4LFE1	Dmel_CG10139
Q9W0F0	Dmel_CG1014
Q9VU74	Dmel_CG10140
Q9W0Z1	Dmel_CG10142
Q7KGG1	Dmel_CG10143
Q9VRX2	Dmel_CG10144
Q7JY80	Dmel_CG10145
P45884	Dmel_CG10146
Q9VRX0	Dmel_CG10147
Q7KLV9	Dmel_CG10149
A0A0B4K7Z5	Dmel_CG10149
B7YZH1	Dmel_CG10151
A0A0B4KGP4	Dmel_CG10152
Q7K2Q8	Dmel_CG10153
Q9VU72	Dmel_CG10154
F0JAK5	Dmel_CG10155
Q9VCK1	Dmel_CG10157
Q9VM65	Dmel_CG10158
M9PEZ2	Dmel_CG10158
Q94513	Dmel_CG10159
Q95028	Dmel_CG10160
B5RJQ0	Dmel_CG10160
Q9VCK0	Dmel_CG10161
Q9VRW5	Dmel_CG10163
Q9VCL2	Dmel_CG10164
Q9VIU6	Dmel_CG10165
Q9VIU7	Dmel_CG10166
Q9VCL3	Dmel_CG10168
Q9VCL5	Dmel_CG10170
Q9VRW4	Dmel_CG10173
Q9VJ85	Dmel_CG10174
Q9VCL6	Dmel_CG10175
Q9VJ83	Dmel_CG10176
Q9VCL7	Dmel_CG10177
Q9VJ81	Dmel_CG10178
Q00748	Dmel_CG10181
Q9VCK9	Dmel_CG10182
Q9VCK7	Dmel_CG10183
Q9VCK6	Dmel_CG10184
Q9VEZ2	Dmel_CG10185
Q058W1	Dmel_CG10186
M9PBE1	Dmel_CG10188
Q9VIV3	Dmel_CG10189
Q24400	Dmel_CG1019
Q9VU65	Dmel_CG10191
Q9W062	Dmel_CG1017
Q9VU64	Dmel_CG10171
Q9VCH1	Dmel_CG10192
Q9VIV6	Dmel_CG10194
Q9VIV9	Dmel_CG10195
P56721	Dmel_CG10197
E2QCN0	Dmel_CG10197
Q9VCH5	Dmel_CG10198
Q7JVV8	Dmel_CG10200
A1Z9V3	Dmel_CG10202
M9PC85	Dmel_CG10203
Q8SY73	Dmel_CG10205
Q9VM69	Dmel_CG10206
Q7JZR4	Dmel_CG10207
Q9VCH7	Dmel_CG10208
A0A0B4KEQ7	Dmel_CG10209
Q9VI21	Dmel_CG1021
Q9VCH8	Dmel_CG10210
Q9VJ80	Dmel_CG10211
Q7KK96	Dmel_CG10212
Q9VCI0	Dmel_CG10214
Q7KMG7	Dmel_CG10215
Q9VCI4	Dmel_CG10217
Q9VCI5	Dmel_CG10219
Q9V415	Dmel_CG10221
Q9VU67	Dmel_CG10222
P15348	Dmel_CG10223
A0A0B4KGQ0	Dmel_CG10225
M9PEB5	Dmel_CG10226
E1JH68	Dmel_CG10228
A0A0B4KFL3	Dmel_CG10229
Q7KMP8	Dmel_CG10230
Q9VCJ0	Dmel_CG10232
Q9VN91	Dmel_CG10233
P25722	Dmel_CG10234
Q00174	Dmel_CG10236
Q9I7M3	Dmel_CG10237
Q9VBX2	Dmel_CG10238
B9A0M7	Dmel_CG1024
Q9V769	Dmel_CG10240
A0A0B4LGH5	Dmel_CG10240
Q9V770	Dmel_CG10241
A0A0B4LF54	Dmel_CG10241
Q9V771	Dmel_CG10242
B5RJL8	Dmel_CG10242
P82711	Dmel_CG10243
Q9VBW3	Dmel_CG10244
Q9V773	Dmel_CG10245
Q27594	Dmel_CG10246
Q9V774	Dmel_CG10247
Q27593	Dmel_CG10248
A8DYE0	Dmel_CG10249
P22816	Dmel_CG10250
Q9VCJ5	Dmel_CG10251
Q9VCJ6	Dmel_CG10252
Q9V778	Dmel_CG10253
A0A0B4JD21	Dmel_CG10253
A0A0B4KHY8	Dmel_CG10254
Q9V780	Dmel_CG10255
A0A0B4JCT8	Dmel_CG10255
Q8SWZ6	Dmel_CG10257
M9PDM4	Dmel_CG10260
Q9VIT0	Dmel_CG10262
M9PBE2	Dmel_CG10263
Q9VEZ7	Dmel_CG10264
Q7K2K2	Dmel_CG10265
Q9VI24	Dmel_CG10267
Q9VIT2	Dmel_CG10268
Q9VRV5	Dmel_CG10269
Q9VRV4	Dmel_CG10270
A8JNL9	Dmel_CG10274
Q9VJ82	Dmel_CG10275
Q9VI20	Dmel_CG10277
A0A0B4JDD2	Dmel_CG10278
P19109	Dmel_CG10279
P02833	Dmel_CG1028
A4V2I6	Dmel_CG1028
A0A0B4K600	Dmel_CG10280
Q05913	Dmel_CG10281
E1JHK9	Dmel_CG10283
Q9VI15	Dmel_CG10286
A8JQU3	Dmel_CG10287
M9PEB1	Dmel_CG10289
O01367	Dmel_CG10293
B3DNL7	Dmel_CG10293
B7Z0W0	Dmel_CG10295
Q9VI12	Dmel_CG10296
P91941	Dmel_CG10297
Q9VI08	Dmel_CG10298
P09077	Dmel_CG1030
A4V2I1	Dmel_CG1030
Q9VCJ2	Dmel_CG10300
Q9VCJ3	Dmel_CG10301
Q9VJ86	Dmel_CG10302
A0A0B4KF52	Dmel_CG10303
P13008	Dmel_CG10305
M9PG47	Dmel_CG10305
Q9W2D9	Dmel_CG10306
Q9W2D7	Dmel_CG10307
Q9VEW6	Dmel_CG10309
Q9VIC3	Dmel_CG1031
Q9VEW3	Dmel_CG10311
Q0E8X6	Dmel_CG10315
Q9VEW0	Dmel_CG10317
Q9W2E3	Dmel_CG10318
Q9W2E8	Dmel_CG10320
A0A0B4KFE8	Dmel_CG10321
Q9VES0	Dmel_CG10324
P29555	Dmel_CG10325
Q9VES1	Dmel_CG10326
A0A0B4KG41	Dmel_CG10326
Q8SXP8	Dmel_CG10327
Q24113	Dmel_CG10328
Q9W1M5	Dmel_CG10332
Q9VJ74	Dmel_CG10333
Q01083	Dmel_CG10334
A4V0W1	Dmel_CG10334
Q9VTV9	Dmel_CG10335
Q8INX3	Dmel_CG10336
Q9VIU0	Dmel_CG10337
Q9VJ63	Dmel_CG10338
Q9W1B3	Dmel_CG10339
P09081	Dmel_CG1034
Q9VES8	Dmel_CG10340
Q9VJ62	Dmel_CG10341
Q9VET0	Dmel_CG10342
A0A0B4KG37	Dmel_CG10342
Q9VJ60	Dmel_CG10343
Q9W251	Dmel_CG10344
Q9VET1	Dmel_CG10345
Q9VJ57	Dmel_CG10346
Q9VYT5	Dmel_CG10347
Q9VJ55	Dmel_CG10348
M9PJJ5	Dmel_CG10352
Q76NS2	Dmel_CG10353
Q9VM71	Dmel_CG10354
M9PEY6	Dmel_CG10354
Q9VZN6	Dmel_CG10357
Q9VZP3	Dmel_CG10308
B7Z0B3	Dmel_CG10359
P14199	Dmel_CG10360
Q9VYR9	Dmel_CG10362
M9PD73	Dmel_CG10363
Q9VIT3	Dmel_CG10364
Q9VCI9	Dmel_CG10365
Q9VIS9	Dmel_CG10366
P14773	Dmel_CG10367
E1JIU8	Dmel_CG10367
B7YZX2	Dmel_CG10369
Q9V3V6	Dmel_CG10370
Q86BN8	Dmel_CG10371
B5RJ36	Dmel_CG10371
Q9VJ58	Dmel_CG10372
Q9VJ59	Dmel_CG10373
Q9VCI3	Dmel_CG10374
A0AVU6	Dmel_CG10375
Q9VJ61	Dmel_CG10376
P48809	Dmel_CG10377
E1JHA4	Dmel_CG10377
A0A0B4K7Q6	Dmel_CG10379
Q9W260	Dmel_CG10382
Q9VJ64	Dmel_CG10383
Q9W249	Dmel_CG10384
P50535	Dmel_CG10385
X2J6S0	Dmel_CG10385
Q24558	Dmel_CG10387
P83949	Dmel_CG10388
Q9VND0	Dmel_CG10390
Q9VJ71	Dmel_CG10391
Q7KJA9	Dmel_CG10392
Q9Y0A7	Dmel_CG10393
A1Z6E8	Dmel_CG10395
A0A0B4KEI0	Dmel_CG10396
Q9VM58	Dmel_CG10399
Q4V5J3	Dmel_CG10405
Q9VEV5	Dmel_CG10406
Q9VEZ6	Dmel_CG10407
Q0KIA8	Dmel_CG1041
Q9VJ75	Dmel_CG10413
Q9VJ73	Dmel_CG10414
O96880	Dmel_CG10415
Q9VTN9	Dmel_CG10361
Q7K4Q5	Dmel_CG10417
E2QC56	Dmel_CG10417
Q9VTW6	Dmel_CG10418
Q9VBV5	Dmel_CG10420
P22745	Dmel_CG10422
B5RIV8	Dmel_CG10422
Q9VBU9	Dmel_CG10423
Q9VVW8	Dmel_CG10424
Q9VVX0	Dmel_CG10419
Q9VBU5	Dmel_CG10425
Q9VTW2	Dmel_CG10426
Q9VJ34	Dmel_CG10428
Q9VJ27	Dmel_CG10431
Q9W2F6	Dmel_CG10433
Q9VHX1	Dmel_CG10435
P54191	Dmel_CG10436
D5SHR0	Dmel_CG10440
P16621	Dmel_CG10443
Q8SWV5	Dmel_CG10444
Q9VHY2	Dmel_CG10445
Q9VJ16	Dmel_CG10446
Q8ST61	Dmel_CG10447
Q9V3A4	Dmel_CG10449
Q2EJP5	Dmel_CG10449
A1Z7Y4	Dmel_CG10459
P09089	Dmel_CG1046
A1ZBK7	Dmel_CG10460
Q2PDT3	Dmel_CG10462
Q9VIS4	Dmel_CG10463
Q7JZ62	Dmel_CG10465
Q9VIS0	Dmel_CG10466
Q9VRU1	Dmel_CG10467
Q9VRU0	Dmel_CG10469
Q9VJ11	Dmel_CG10470
Q9VRT2	Dmel_CG10472
Q9VJ12	Dmel_CG10473
A1ZBI7	Dmel_CG10474
Q9VRS9	Dmel_CG10475
A1ZBI6	Dmel_CG10476
Q9VRS3	Dmel_CG10477
Q9VRS0	Dmel_CG10478
M9PEA4	Dmel_CG10479
